ticker,delisted,index_joined,index_left,cik,cik_source,cells,median_mcap_usd_m,median_shares_m,median_rev_ttm_usd_m,cik_note
BAX,False,1996-01-02,,0000010456,anchors,206,20996.85,547.0,12843.0,今日對照
ENPH,True,2021-01-07,2025-09-22,0001463101,anchors,56,21087.12,142.878,1482.82,今日對照·已核實
AME,False,2013-09-23,,0001037868,anchors,156,21115.08,232.224,4465.14,今日對照
IR,False,1996-01-02,,0001699150,anchors,109,21141.68,406.9,5494.8,今日對照
EIX,False,1996-01-02,,0000827052,anchors,205,21152.04,329.0,12875.0,今日對照
TSN,False,2005-08-11,,0000100493,anchors,193,21236.56,366.0,40686.0,今日對照
ZBH,False,2001-08-07,,0001136869,anchors,205,21270.85,203.5,7195.5,今日對照
PPL,False,1996-01-02,,0000922224,anchors,205,21296.49,688.746,8201.0,今日對照
LUV,False,1996-01-02,,0000092380,anchors,209,21383.04,615.0,20326.0,今日對照
STE,False,2019-12-23,,0001757898,anchors,81,21384.37,98.942,4783.69,今日對照
A,False,2000-06-05,,0001090872,anchors,203,21529.04,321.0,6328.0,今日對照
AMP,False,1996-01-02,,0000820027,anchors,205,22001.34,153.8,12296.0,今日對照
HPE,False,2015-11-02,,0001645590,anchors,129,22142.4,1337.0,29344.0,今日對照
SW,False,2024-07-08,,0002005951,anchors,25,22221.54,526.0,31138.0,今日對照
VFC,True,1996-01-02,2024-04-01,0000103379,anchors,176,22296.31,392.495,11588.56,今日對照·已核實
TROW,False,1999-10-13,,0001113169,anchors,206,22322.29,247.15,2726.2,今日對照
RCL,False,2014-12-05,,0000884887,anchors,141,22423.94,221.137,8682.98,今日對照
RSG,False,2008-12-05,,0001060391,anchors,205,22458.55,338.474,11621.9,今日對照
HUBB,False,2023-10-18,,0000048898,anchors,35,22842.54,54.0,5628.5,今日對照
DVN,False,2000-08-30,,0001090012,anchors,160,22856.45,520.0,13326.0,今日對照
PH,False,1996-01-02,,0000076334,anchors,193,22915.34,135.427,13350.7,今日對照
CPAY,False,2024-03-25,,0001175454,anchors,30,23026.16,71.429,4045.01,今日對照
WSM,False,2025-03-24,,0000719955,anchors,18,23300.56,123.273,7829.76,今日對照
AZO,False,1997-01-02,,0000866787,anchors,201,23458.99,27.882,11221.08,今日對照
WST,False,2020-05-22,,0000105770,anchors,76,23480.16,75.45,2886.9,今日對照
PAYX,False,1998-10-01,,0000723531,anchors,204,23544.85,362.15,3380.9,今日對照
CDW,False,2019-09-23,,0001402057,anchors,84,23606.72,136.8,21072.15,今日對照
SYF,False,2015-11-18,,0001601712,anchors,130,23663.13,584.6,,今日對照
AVGO,False,2014-05-08,,0001730168,anchors,99,23783.33,429.0,33807.5,今日對照
HSY,False,1996-01-02,,0000047111,anchors,205,23812.12,220.075,7546.03,今日對照
FANG,False,2018-12-03,,0001539838,anchors,93,23905.94,178.36,8412.0,今日對照
NOW,False,2019-11-21,,0001373715,anchors,82,23974.19,203.899,7432.0,今日對照
XEL,False,1996-01-02,,0000072903,anchors,206,24082.14,509.49,11453.0,今日對照
VLTO,False,2023-10-02,,0001967680,anchors,35,24561.15,249.6,5279.0,今日對照
ED,False,1996-01-02,,0001047862,anchors,193,24618.27,311.9,12667.0,今日對照
KR,False,1996-01-02,,0000056873,anchors,204,24642.83,725.0,115337.0,今日對照
BKR,False,2019-10-18,,0001701605,anchors,83,24663.6,806.0,23648.0,今日對照
MSI,False,1996-01-02,,0000068505,anchors,205,24924.52,174.1,8459.0,今日對照
EXE,False,2025-03-24,,0000895126,anchors,18,24994.61,240.37,10853.0,今日對照
AWK,False,2016-03-04,,0001410636,anchors,126,25042.88,182.0,3502.0,今日對照
PCG,False,1996-01-02,,0001004980,anchors,160,25089.33,489.0,16948.5,人手辨明
PEG,False,1996-01-02,,0000788784,anchors,205,25521.92,507.0,10158.0,今日對照
EXC,False,1996-01-02,,0001109357,anchors,206,25633.81,966.0,26336.0,今日對照
MTD,False,2016-09-06,,0001037646,anchors,120,25649.35,23.522,3474.08,今日對照
ADSK,False,1996-01-02,,0000769397,anchors,207,25796.41,222.4,2538.6,今日對照
CMI,False,1996-01-02,,0000026172,anchors,206,25924.51,167.0,19559.0,今日對照
Q,False,2000-07-06,,0002058873,anchors,10,25936.45,209.8,4754.0,今日對照
ADM,False,1996-01-02,,0000007084,anchors,202,25991.29,569.0,80269.0,今日對照
GPN,False,2016-04-25,,0001123360,anchors,125,26134.1,254.845,7705.88,今日對照
DG,False,1998-07-16,,0000029534,anchors,165,26183.09,259.102,27753.97,今日對照
WMB,False,1996-01-02,,0000107263,anchors,205,26265.41,829.368,8255.0,今日對照
CRWD,False,2024-06-24,,0001535527,anchors,27,26471.61,250.164,4136.02,今日對照
PPG,False,1996-01-02,,0000079879,anchors,194,26502.99,237.2,15108.0,今日對照
TJX,False,1996-01-02,,0000109198,anchors,205,26766.36,745.741,33734.26,今日對照
MPWR,False,2021-02-12,,0001280452,anchors,67,27221.99,48.349,1827.89,今日對照
KEYS,False,2018-11-06,,0001601046,anchors,94,27231.38,182.0,5018.0,今日對照
NEM,False,1996-01-02,,0001164727,anchors,209,27535.28,535.0,11083.0,今日對照
STT,False,1997-08-18,,0000093751,anchors,205,27558.93,380.213,11521.0,今日對照
VRSK,False,2015-10-08,,0001442145,anchors,131,27978.03,165.103,2784.6,今日對照
AJG,False,2016-05-31,,0000354190,anchors,124,28368.79,197.95,7940.3,今日對照
WTW,False,2022-01-10,,0001140536,anchors,56,28445.9,104.0,9580.0,今日對照
GLW,False,1996-01-02,,0000024741,anchors,194,28450.78,930.0,10116.0,今日對照
ROP,False,2009-12-23,,0000882835,anchors,201,28737.32,103.68,4391.69,今日對照
YUM,False,1997-10-07,,0001041061,anchors,191,28808.33,325.0,8061.0,今日對照
FIS,False,2006-11-10,,0001136893,anchors,205,28895.75,334.0,12201.0,今日對照
DXCM,False,2020-05-12,,0001093557,anchors,76,28967.48,407.5,3110.05,今日對照
MCO,False,1996-01-02,,0001059556,anchors,205,29468.26,194.3,4204.1,今日對照
RMD,False,2017-07-26,,0000943819,anchors,110,29507.87,146.421,3443.76,今日對照
CASY,False,2026-04-09,,0000726958,anchors,5,29631.08,37.282,17561.1,今日對照
HPQ,False,1996-01-02,,0000047217,anchors,204,29761.95,1682.0,61440.0,今日對照
EBAY,False,2002-07-22,,0001065088,anchors,206,30054.73,1056.5,10714.0,今日對照
ROST,False,2009-12-21,,0000745732,anchors,195,30092.7,337.932,13334.88,今日對照
CNC,False,1997-01-15,,0001071739,anchors,126,30138.51,497.909,115073.0,今日對照
CCL,False,1998-12-22,,0000815097,anchors,191,30450.63,779.0,13635.0,今日對照
ON,False,2022-06-21,,0001097864,anchors,51,30624.84,433.2,7618.2,今日對照
SYY,False,1996-01-02,,0000096021,anchors,202,30641.91,529.09,54597.99,今日對照
VLO,False,2004-04-29,,0001035002,anchors,205,30644.88,441.0,123779.0,今日對照
ALL,False,1996-01-02,,0000899051,anchors,205,30903.88,367.1,38860.0,今日對照
JCI,False,1996-01-02,,0000833444,anchors,206,31243.41,661.0,22284.0,今日對照
TEL,False,2007-07-02,,0001385157,anchors,179,31323.6,344.0,13968.0,今日對照
HAL,False,1996-01-02,,0000045012,anchors,206,31415.04,882.0,22234.0,今日對照
IBKR,False,2025-08-28,,0001381197,anchors,13,31598.36,446.529,2440.0,今日對照
VEEV,False,2026-05-07,,0001393052,anchors,4,31641.65,165.989,3319.22,今日對照
MPC,False,2011-07-01,,0001510295,anchors,175,32017.62,464.0,100160.0,今日對照
FCX,False,1996-01-02,,0000831259,anchors,208,32345.85,1443.0,20606.0,今日對照
MCK,False,1999-01-13,,0000927653,anchors,206,32742.3,209.5,208357.0,今日對照
TRGP,False,2022-10-12,,0001389170,anchors,47,32843.42,221.9,16561.5,今日對照
EME,False,2025-09-22,,0000105634,anchors,12,32845.12,44.968,16986.42,今日對照
TDG,False,2016-06-03,,0001260221,anchors,123,32892.99,54.7,5197.0,今日對照
FICO,False,2023-03-20,,0000814547,anchors,42,33106.17,25.015,1717.53,今日對照
ADI,False,1999-10-12,,0000006281,anchors,205,33123.88,371.849,4569.96,今日對照
GIS,False,1996-01-02,,0000040704,anchors,192,33295.63,612.4,17429.8,今日對照
DAL,False,2013-09-11,,0000027904,anchors,156,33429.82,653.5,40920.0,今日對照
HUM,False,1996-01-02,,0000049071,anchors,193,33500.56,138.678,55009.0,今日對照
LULU,False,2023-10-18,,0001397187,anchors,35,33557.88,122.803,10588.13,今日對照
PGR,False,1997-08-04,,0000080661,anchors,205,33724.61,587.6,27947.4,今日對照
CTSH,False,2006-11-17,,0001058290,anchors,205,34173.02,519.0,14444.0,今日對照
OTIS,False,2020-04-03,,0001781335,anchors,76,34600.86,416.9,14181.0,今日對照
IQV,False,2017-08-29,,0001478242,anchors,109,34625.92,193.4,14084.5,今日對照
ILMN,True,2015-11-19,2024-06-24,0001110803,anchors,103,34686.42,149.0,3458.0,今日對照·已核實
ACGL,False,2022-11-01,,0000947484,anchors,46,34772.12,378.8,15474.0,今日對照
EL,False,2006-01-05,,0001001250,anchors,190,34970.78,368.6,13683.0,今日對照
AEP,False,1996-01-02,,0000004904,anchors,205,34979.64,492.986,16179.0,今日對照
TRV,False,1996-01-02,,0000086312,anchors,205,35099.46,276.6,29246.0,今日對照
APD,False,1996-01-02,,0000002969,anchors,206,35202.63,220.4,9822.0,今日對照
IDXX,False,2017-01-05,,0000874716,anchors,116,35437.49,86.541,3215.36,今日對照
GEHC,False,2023-01-04,,0001932393,anchors,41,35724.0,458.0,19799.0,今日對照
AMZN,False,2005-11-21,,0001018724,anchors,206,35865.51,495.0,177866.0,今日對照
AXON,False,2023-05-04,,0001069183,anchors,40,35995.62,78.08,1939.48,今日對照
ETN,False,1996-01-02,,0001551182,anchors,163,36446.82,418.4,20874.0,今日對照
AON,False,1996-04-23,,0000315293,anchors,205,36515.58,257.3,11592.0,今日對照
HLT,False,1996-01-02,,0001585689,anchors,111,36616.28,279.0,9140.0,今日對照
LVS,False,2019-10-03,,0001300514,anchors,83,36626.16,764.0,8639.0,今日對照
LYB,False,2012-09-05,,0001489393,anchors,168,36991.68,372.0,38015.0,今日對照
KVUE,False,2023-08-25,,0001944048,anchors,37,37056.0,1923.0,15355.0,今日對照
WM,False,1998-07-17,,0000823768,anchors,193,38907.0,432.3,14556.0,今日對照
MSCI,False,2018-04-04,,0001408198,anchors,101,39130.54,82.286,2125.07,今日對照
BSX,False,1996-01-02,,0000885725,anchors,205,39145.55,1430.8,9279.0,今日對照
PRU,False,2002-07-22,,0001137774,anchors,112,39302.48,390.1,60990.0,今日對照
CTVA,False,2019-06-03,,0001755672,anchors,85,39365.06,718.7,16834.0,今日對照
FTNT,False,2018-10-11,,0001262039,anchors,95,39443.77,739.9,4257.7,今日對照
FDX,False,1996-01-02,,0001048911,anchors,192,40156.48,270.0,65450.0,今日對照
ECL,False,1996-01-02,,0000031462,anchors,205,40243.75,289.5,13545.1,今日對照
COP,False,1996-01-02,,0001163165,anchors,205,40830.49,1077.377,55517.0,今日對照
MAR,False,1998-05-21,,0001048286,anchors,194,41047.61,325.8,15531.0,今日對照
BIIB,False,2003-11-13,,0000875045,anchors,206,41201.17,211.8,10065.9,今日對照
BDX,False,1996-01-02,,0000010795,anchors,193,41287.76,267.341,13503.0,今日對照
MMC,True,1996-01-02,2026-01-14,0000062709,edgar_full_text_search,197,41310.18,519.0,19692.5,"全文檢索:成分期 1996-01-02~2026-01-14 內 87/100 份 10-K/10-Q 印有代號 MMC,全屬 0000062709(MARSH & MCLENNAN COMPANIES, INC.);該 CIK 申報期 1"
MRNA,False,2021-07-21,,0001682852,anchors,62,41422.17,395.0,6848.0,今日對照
KMI,False,2000-12-12,,0001506307,anchors,137,41521.76,2230.0,14718.0,今日對照
KMB,False,1996-01-02,,0000055785,anchors,193,41793.01,350.3,19311.0,今日對照
SPGI,False,1996-01-02,,0000064040,anchors,206,42529.04,278.55,6306.0,今日對照
FLEX,False,2026-06-22,,0000866374,anchors,3,42542.5,374.0,29267.0,今日對照
AMAT,False,1996-01-02,,0000006951,anchors,204,42904.89,1071.0,14608.0,今日對照
COF,False,1998-07-01,,0000927628,anchors,193,43033.54,480.9,28076.0,今日對照
NSC,False,1996-01-02,,0000702165,anchors,194,43333.03,283.7,11172.0,今日對照
CDNS,False,2017-09-18,,0000813672,anchors,108,43369.85,278.311,3153.98,今日對照
LHX,False,2019-06-01,,0000202058,anchors,87,43440.4,191.2,18124.0,今日對照
FERG,False,2026-08-05,,0002011641,anchors,1,44327.06,194.0,30762.0,今日對照
KHC,False,2015-07-06,,0001637459,anchors,133,44372.4,1226.0,26172.0,今日對照
EMR,False,1996-01-02,,0000032604,anchors,193,44511.66,635.3,18529.0,今日對照
PSX,False,2012-05-01,,0001534701,anchors,169,44789.27,471.638,131953.0,今日對照
XYZ,False,2025-07-23,,0001512673,anchors,14,44989.57,620.293,24083.72,今日對照
TGT,False,1996-01-02,,0000027419,anchors,205,45033.72,547.9,74008.0,今日對照
DE,False,1996-01-02,,0000315189,anchors,205,45162.77,322.2,36816.0,今日對照
D,False,1996-01-02,,0000715957,anchors,193,46000.18,653.1,14036.0,今日對照
TT,False,2002-05-13,,0001466258,anchors,78,46450.27,231.5,16450.45,今日對照
CARR,False,2020-04-03,,0001783180,anchors,76,46865.16,870.9,21870.0,今日對照
INTU,False,2000-12-11,,0000896878,anchors,201,47306.24,283.0,5089.0,今日對照
SNPS,False,2017-03-16,,0000883241,anchors,114,47514.1,155.706,4631.58,今日對照
MU,False,1996-01-02,,0000723125,anchors,200,47522.11,1125.0,19599.0,今日對照
NOC,False,1996-01-02,,0001133421,anchors,206,47875.68,175.4,33276.0,今日對照
ITW,False,1996-01-02,,0000049826,anchors,205,48383.96,346.0,14587.0,今日對照
SO,False,1996-01-02,,0000092122,anchors,205,48501.3,1010.0,21267.0,今日對照
EOG,False,2000-11-02,,0000821189,anchors,205,48645.52,549.683,14487.12,今日對照
AIG,False,1996-01-02,,0000005272,anchors,204,48951.23,888.325,52367.0,今日對照
F,False,1996-01-02,,0000037996,anchors,199,49030.92,4014.0,149558.0,今日對照
MET,False,2000-12-11,,0001099219,anchors,193,49492.36,963.3,68752.0,今日對照
COR,False,2023-08-30,,0001140859,anchors,37,50914.2,195.383,303192.83,今日對照
DDOG,False,2025-07-09,,0001561550,anchors,14,50953.05,363.275,3319.42,今日對照
HCA,False,1996-01-02,,0000860730,anchors,140,51450.86,343.346,59800.0,今日對照
GD,False,1996-01-02,,0000040533,anchors,193,51616.43,300.139,32582.0,今日對照
VRTX,False,2013-09-23,,0000875320,anchors,156,52448.05,258.584,4819.49,今日對照
ICE,False,2007-09-26,,0001571949,anchors,151,53017.71,565.0,7079.0,今日對照
FIX,False,2025-12-22,,0001035983,anchors,9,53541.31,35.254,10135.69,今日對照
PNC,False,1996-01-02,,0000713676,anchors,205,53663.0,470.0,16556.0,今日對照
CME,False,2006-08-11,,0001156375,anchors,204,53836.74,340.329,3824.4,今日對照
SCHW,False,1997-06-02,,0000316709,anchors,205,54015.36,1334.0,8935.0,今日對照
ADP,False,1996-01-02,,0000008670,anchors,202,54214.86,443.7,13325.8,今日對照
VST,False,2024-05-08,,0001692819,anchors,28,54393.55,345.656,17224.0,今日對照
NXPI,False,2021-03-22,,0001413447,anchors,66,55089.65,261.21,12614.0,今日對照
ZTS,False,2013-06-24,,0001555280,anchors,159,55320.22,481.787,6340.0,今日對照
GM,False,2013-06-07,,0001467858,anchors,159,55837.62,1454.0,154249.0,今日對照
REGN,False,2013-05-01,,0000872589,anchors,160,56560.79,114.353,7863.4,今日對照
CIEN,False,2001-08-30,,0000936395,anchors,7,56603.55,145.799,5124.29,今日對照
OXY,False,1996-01-02,,0000797468,anchors,193,57048.88,813.2,23368.0,今日對照
COHR,False,2026-03-23,,0000820318,anchors,6,58089.2,195.877,6602.08,今日對照
TFC,False,2019-12-09,,0000092230,anchors,81,59868.96,1338.864,,今日對照
DHR,False,1998-11-18,,0000313616,anchors,206,61248.53,713.947,20253.1,今日對照
SYK,False,2000-12-12,,0000310764,anchors,204,61401.35,382.5,12444.0,今日對照
COIN,False,2025-05-19,,0001679788,anchors,16,61439.64,278.913,7008.33,今日對照
WDAY,False,2024-12-23,,0001327811,anchors,21,62000.5,268.629,8959.0,今日對照
CL,False,1996-01-02,,0000021665,anchors,194,62494.09,849.4,16971.0,今日對照
CEG,False,1996-01-02,,0001868275,anchors,52,62835.32,323.0,24841.0,今日對照
CB,False,1996-01-02,,0000896159,anchors,193,63927.28,409.74,32717.0,今日對照
AMD,False,1996-01-02,,0000002488,anchors,151,64394.64,1215.0,8646.0,今日對照
DUK,False,1996-01-02,,0001326160,anchors,205,65139.96,738.0,23793.0,今日對照
PANW,False,2023-06-20,,0001327567,anchors,39,68741.1,357.5,8288.2,今日對照
MDLZ,False,2007-04-02,,0001103982,anchors,193,70802.93,1470.0,33365.0,今日對照
CAT,False,1996-01-02,,0000018230,anchors,205,72673.92,593.2,54722.0,今日對照
CRH,False,2025-12-22,,0000849395,anchors,9,72726.12,668.8,38061.0,今日對照
USB,False,1996-01-02,,0000036104,anchors,205,73222.39,1678.0,23148.0,今日對照
LITE,False,2026-03-23,,0001633978,anchors,6,73952.36,92.0,2488.4,今日對照
DD,False,1996-01-02,,0000030554,anchors,91,74044.68,921.655,27939.0,人手辨明
LOW,False,1996-01-02,,0000060667,anchors,204,74536.7,832.0,68909.0,今日對照
MS,False,1996-01-02,,0000895421,anchors,205,76242.78,1727.0,33194.0,今日對照
CI,False,1996-01-02,,0001739940,anchors,91,78109.8,307.517,180453.0,今日對照
MMM,False,1996-01-02,,0000066740,anchors,206,78212.47,612.7,30695.0,今日對照
APO,False,2024-12-23,,0001858681,anchors,21,80426.29,593.657,27468.0,今日對照
AMCR,False,2019-06-07,,0001748790,anchors,87,81333.4,1486.0,13778.0,今日對照
SLB,False,1996-01-02,,0000087347,anchors,206,81735.72,1387.0,32865.0,今日對照
TMO,False,1997-01-02,,0000097745,anchors,206,82592.96,397.0,20918.2,今日對照
CVS,False,1996-01-02,,0000064803,anchors,205,83873.79,1280.0,185944.0,今日對照
ABNB,False,2023-09-18,,0001559720,anchors,36,84246.63,642.0,11102.0,今日對照
CRM,False,2008-09-15,,0001108524,anchors,205,85433.75,738.106,8391.98,今日對照
SBUX,False,2000-06-08,,0000829224,anchors,205,86152.39,1150.5,22727.5,今日對照
PYPL,False,2015-07-20,,0001633917,anchors,134,86689.14,1187.0,24569.0,今日對照
AXP,False,1996-01-02,,0000004962,anchors,204,86942.99,881.0,27819.0,今日對照
COST,False,1996-01-02,,0000909832,anchors,201,87059.55,443.132,139465.0,今日對照
MO,False,1996-01-02,,0000764180,anchors,193,88020.9,1888.0,24809.0,今日對照
MRSH,False,2026-01-14,,0000062709,anchors,8,88557.44,486.0,27517.0,今日對照
DASH,False,2025-03-24,,0001792789,anchors,18,89022.91,439.515,12635.0,今日對照
DELL,False,1996-09-06,,0001571996,anchors,24,90493.11,694.0,99076.0,今日對照
ADBE,False,1997-05-06,,0000796343,anchors,207,90807.23,499.433,7698.81,今日對照
GS,False,2002-07-22,,0000886982,anchors,205,91168.46,405.7,,今日對照
LMT,False,1996-01-02,,0000936468,anchors,194,91272.89,287.1,51626.0,今日對照
HOOD,False,2025-09-22,,0001783879,anchors,12,91538.42,915.039,4473.0,今日對照
WMT,False,1996-01-02,,0000104169,anchors,204,91548.28,3235.5,502917.0,今日對照
GILD,False,2004-07-01,,0000882095,anchors,205,94274.52,1262.0,24789.87,今日對照
UPS,False,2002-07-22,,0001090727,anchors,193,95317.02,876.0,65872.0,今日對照
TXN,False,1996-01-02,,0000097476,anchors,206,98104.34,1001.0,14115.0,今日對照
BMY,False,1996-01-02,,0000014272,anchors,185,100805.6,1706.0,22037.0,今日對照
MCD,False,1996-01-02,,0000063908,anchors,205,101105.18,803.0,24934.3,今日對照
NKE,False,1996-01-02,,0000320187,anchors,191,101318.3,1543.3,35285.0,今日對照
BA,False,1996-01-02,,0000012927,anchors,206,102939.58,644.85,77794.0,今日對照
BNY,False,2026-05-21,,0001390777,anchors,4,104588.36,695.193,15025.0,今日對照
ABT,False,1996-01-02,,0000001800,anchors,205,104800.08,1747.22,33989.0,今日對照
NKTR,True,2018-03-19,2019-10-03,0000906709,anchors,19,105017.65,173.859,321.0,今日對照·已核實
HON,False,1996-01-02,,0000773840,anchors,193,105355.57,753.0,37686.0,今日對照
UNP,False,1996-01-02,,0000100885,anchors,206,105802.62,621.5,21804.0,今日對照
ELV,False,2022-06-28,,0001156039,anchors,51,106446.29,233.4,171959.0,今日對照
ACN,False,2011-07-06,,0001467373,anchors,182,106507.32,652.151,42154.48,今日對照
BX,False,2023-09-18,,0001393818,anchors,36,107172.44,769.235,12831.6,今日對照
LLY,False,1996-01-02,,0000059478,anchors,187,107206.8,1030.2,23343.0,今日對照
QCOM,False,1999-07-22,,0000804328,anchors,206,110292.34,1487.0,24508.0,今日對照
VRT,False,2026-03-23,,0001674101,anchors,6,112383.09,392.128,10843.4,今日對照
MDT,False,1996-01-02,,0001613103,anchors,139,116876.26,1351.5,30808.0,今日對照
AMGN,False,1996-01-02,,0000318154,anchors,205,125040.78,733.0,23050.0,今日對照
RTX,False,2020-04-03,,0000101829,anchors,77,142165.69,1448.1,68920.0,今日對照
PM,False,2008-03-31,,0001413329,anchors,193,143776.74,1557.0,62080.0,今日對照
C,False,1996-01-02,,0000831001,anchors,201,147878.97,2683.7,75881.5,今日對照
ABBV,False,2013-01-02,,0001551152,anchors,160,148274.58,1637.0,53729.0,今日對照
IBM,False,1996-01-02,,0000051143,anchors,206,152840.38,948.675,79390.0,今日對照
INTC,False,1996-01-02,,0000050863,anchors,205,158115.3,4845.0,55237.0,今日對照
UBER,False,2023-12-18,,0001543151,anchors,33,158150.0,2122.618,43978.0,今日對照
GEV,False,2024-04-02,,0001996810,anchors,26,162925.12,276.0,37670.0,今日對照
LIN,False,2018-11-06,,0001707925,anchors,94,166026.91,498.413,32634.0,今日對照
PEP,False,1996-01-02,,0000077476,anchors,191,167555.76,1426.0,66544.0,今日對照
BLK,False,2011-04-04,,0002012383,anchors,22,170115.68,156.632,22885.0,今日對照
CSCO,False,1996-01-02,,0000858877,anchors,202,175116.08,4924.0,49161.0,今日對照
MRK,False,1996-01-02,,0000310158,anchors,193,176075.8,2679.0,46840.0,今日對照
MA,False,2008-07-18,,0001141391,anchors,206,183343.54,974.0,11941.0,今日對照
ORCL,False,1996-01-02,,0001341439,anchors,204,188532.09,4199.5,39217.0,今日對照
PFE,False,1996-01-02,,0000078003,anchors,205,190844.14,6041.0,55093.0,今日對照
KO,False,1996-01-02,,0000021344,anchors,206,191361.7,4323.5,43493.0,今日對照
MRVL,False,2026-06-22,,0001835632,anchors,3,199550.34,893.3,8717.1,今日對照
HD,False,1996-01-02,,0000354950,anchors,204,207576.42,1174.0,100904.0,今日對照
AAPL,False,1996-01-02,,0000320193,anchors,206,213833.71,5327.995,234351.5,今日對照
WFC,False,1996-01-02,,0000072971,anchors,205,217084.42,4838.4,74275.0,今日對照
CVX,False,1996-01-02,,0000093410,anchors,208,219742.24,1909.424,194384.0,今日對照
UNH,False,1996-01-02,,0000731766,anchors,205,222767.6,968.0,207624.0,今日對照
BAC,False,1996-01-02,,0000070858,anchors,205,239144.4,9976.351,89562.0,今日對照
PG,False,1996-01-02,,0000080424,anchors,203,246869.57,2669.6,79618.0,今日對照
NBR,True,2000-10-18,2015-03-23,0001163739,anchors,68,261243.69,292.484,6162.99,今日對照·已核實
JPM,False,1996-01-02,,0000019617,anchors,205,327113.11,3559.6,102558.0,今日對照
PLTR,False,2024-09-23,,0001321655,anchors,24,349959.76,2562.912,3440.59,今日對照
JNJ,False,1996-01-02,,0000200406,anchors,205,351996.78,2737.7,80684.0,今日對照
GE,False,1996-01-02,,0000040545,anchors,154,443287.95,8724.0,88792.5,今日對照
XOM,False,1996-01-02,,0002115436,anchors,1,654107.54,4174.0,,今日對照
TSLA,False,2020-12-21,,0001318605,anchors,69,714842.25,3481.0,94028.0,今日對照
MSFT,False,1996-01-02,,0000789019,anchors,203,728894.88,7794.0,110360.0,今日對照
