ticker,price_chk,price_src,price_ok,form_chk,form_src,form_ok,ps_src,ps_chk,ps_ok,nd_src_musd,nd_chk_musd,nd_asof,nd_ok,debt_gate_src,debt_gate_chk,debt_gate_ok,kill_src,kill_chk,kill_ok,grade_src,grade_chk,grade_ok,concl_src,concl_chk,concl_ok
CRDO,172.368896484375,172.72999572753906,True,線附近,線附近,True,21.102427090074503,24.2653557427083,True,-738,-1418,2026-04-30,False,True,True,True,行業殺,行業殺,True,兩把尺都過,兩把尺都過,True,觀察,觀察,True
STRL,505.5450134277344,502.6099853515625,False,線附近,線附近,True,4.5522310615205965,4.497291174966103,True,-94,-229,2026-06-30,True,True,True,True,混合,混合,True,都不過,都不過,True,不入,不入,True
COLL,23.329999923706055,23.350000381469727,True,殺,殺,True,0.937827014126074,0.8948329765666131,True,967,967,2026-06-30,True,True,True,True,個別殺,個別殺,True,兩把尺都過,兩把尺都過,True,入選,入選,True
AAON,80.16000366210938,80.08000183105469,True,殺,殺,True,3.469524044458477,3.420194680096268,True,452,452,2026-06-30,True,False,False,True,行業殺,行業殺,True,兩把尺都過,兩把尺都過,True,不入,不入,True
CLS,332.75,333.1000061035156,True,回調,回調,True,2.4820430734700385,2.690915013738818,True,446,275,2026-06-30,True,True,True,True,行業殺,行業殺,True,都不過,都不過,True,不入,不入,True
KRMN,40.1349983215332,39.97999954223633,True,殺,殺,True,8.987484258101276,9.022512260371556,True,733,824,2026-06-30,True,False,False,True,混合,混合,True,兩把尺都過,兩把尺都過,True,不入,不入,True
LULU,102.05500030517578,102.22930145263672,True,殺,殺,True,1.0405333797306988,1.0184385672342298,True,751,751,2026-07-31,True,True,True,True,混合,混合,True,兩把尺都過,兩把尺都過,True,入選,入選,True
INOD,56.15999984741211,55.959999084472656,True,殺,殺,True,6.134949515601388,6.088111118896292,True,-247,-247,2026-06-30,True,True,True,True,混合,混合,True,兩把尺都過,兩把尺都過,True,入選,入選,True
CRUS,111.30000305175781,111.2750015258789,True,殺,殺,True,2.8419820935806084,2.7212425870665657,True,-1037,-1037,2026-06-30,True,True,True,True,行業殺,行業殺,True,都不過,都不過,True,不入,不入,True
FN,418.114990234375,420.5450134277344,False,線附近,線附近,True,3.2849125598500155,3.231092903644059,True,-871,-960,2026-06-30,True,True,True,True,行業殺,行業殺,True,"只過一把(重估已完成,不是折讓)","只過一把(重估已完成,不是折讓)",True,觀察,觀察,True
AGX,443.55999755859375,441.0899963378906,False,線附近,線附近,True,5.2583327860852975,5.2376936616249665,True,-839,-1018,2026-07-31,True,True,True,True,行業殺,行業殺,True,都不過,都不過,True,不入,不入,True
CLVT,1.872499942779541,1.875,True,殺,殺,True,0.4909327748263179,0.4960557331007244,True,4136,4040,2026-06-30,True,False,False,True,混合,混合,True,兩把尺都過,兩把尺都過,True,不入,不入,True
ADTN,7.53380012512207,7.505000114440918,True,殺,殺,True,0.5337377774940881,0.5393165284707904,True,173,123,2026-06-30,False,True,True,True,行業殺,行業殺,True,兩把尺都過,兩把尺都過,True,入選,入選,True
ENPH,38.630001068115234,38.720001220703125,True,線附近,線附近,True,3.6329226799548553,3.8324107749748864,True,-360,-356,2026-06-30,True,True,True,True,行業殺,行業殺,True,"只過一把(重估已完成,不是折讓)","只過一把(重估已完成,不是折讓)",True,觀察,觀察,True
ON,71.81500244140625,71.92009735107422,True,線附近,線附近,True,4.692711505497824,4.511417384692857,True,841,618,2026-06-30,True,True,True,True,行業殺,行業殺,True,都不過,都不過,True,不入,不入,True
ARM,261.8999938964844,262.07501220703125,True,回調,回調,True,54.79380588812639,54.2491890423883,True,-3442,-4013,2026-06-30,True,True,True,True,行業殺,行業殺,True,都不過,都不過,True,不入,不入,True
QCOM,173.52999877929688,173.35499572753906,True,回調,回調,True,4.205143988580164,4.205689600520212,True,6468,6966,2026-06-30,True,True,True,True,行業殺,行業殺,True,都不過,都不過,True,不入,不入,True
ORCL,162.05499267578125,161.67999267578125,True,殺,殺,True,6.994499519837682,6.929842547885921,True,128949,124295,2026-05-31,True,False,False,True,個別殺,個別殺,True,都不過,都不過,True,不入,不入,True
TDC,27.760000228881836,27.700000762939453,True,線附近,線附近,True,1.5758368263718363,1.5267179309793086,True,-406,-315,2026-06-30,True,True,True,True,個別殺,個別殺,True,都不過,都不過,True,不入,不入,True
VIAV,39.244998931884766,39.1349983215332,True,回調,回調,True,5.915485816236495,6.377986390240894,True,32,46,2026-06-30,True,True,True,True,行業殺,行業殺,True,都不過,都不過,True,不入,不入,True
