ticker,name,sic_description,price,n1_implied_g5,consensus_rev_growth,consensus_growth_key,mispricing_label_auto,gap_vs_consensus_pp,rev_growth_yoy,op_margin,asof,next_earnings,rev_ttm_musd
ADTN,"ADTRAN Holdings, Inc.",Telephone & Telegraph Apparatus,7.545000076293945,,0.0788,+1y,資料不足,,0.1574781770405382,-0.0017623901032043,2026-06-30,"[datetime.date(2026, 11, 3)]",1138.0
SEDG,"SOLAREDGE TECHNOLOGIES, INC.",Semiconductors & Related Devices,36.900001525878906,,0.113900006,+1y,資料不足,,0.4164748485212548,-0.1160033056089518,2026-06-30,"[datetime.date(2026, 11, 4)]",1332.0
INOD,INNODATA INC,Services-Computer Processing & Data Preparation,56.16999816894531,0.3990058898925781,0.2795,+1y,市場比指引更樂觀,11.95058898925781,0.3902104400348907,0.1257172945227075,2026-06-30,"[datetime.date(2026, 11, 6)]",317.0
VPG,"Vishay Precision Group, Inc.",Electronic Components & Accessories,65.56999969482422,,0.0769,+1y,資料不足,,0.1127972582141816,0.0342220829060011,2026-07-04,"[datetime.date(2026, 11, 3)]",329.0
LINC,LINCOLN EDUCATIONAL SERVICES CORPORATION,Services-Educational Services,25.600000381469727,0.9647865295410156,0.088999994,+1y,市場比指引更樂觀,87.57865355410156,0.2202290476159936,0.0591105473581672,2026-06-30,"[datetime.date(2026, 11, 9)]",571.0
ARRY,"ARRAY TECHNOLOGIES, INC.",Semiconductors & Related Devices,4.881400108337402,,0.1201,+1y,資料不足,,0.0117550228645781,-0.0512914637151353,2026-06-30,"[datetime.date(2026, 11, 5)]",1185.0
UTI,"UNIVERSAL TECHNICAL INSTITUTE, INC",Services-Educational Services,21.979999542236328,,0.0844,+1y,資料不足,,0.0914886625852962,0.050087426932022,2026-06-30,"[datetime.date(2026, 11, 19)]",884.0
MRAM,"Everspin Technologies, Inc.",Semiconductors & Related Devices,17.1299991607666,,0.1565,+1y,資料不足,,0.2089211417513303,-0.1554961502136991,2026-06-30,"[datetime.date(2026, 11, 12)]",62.0
CIEN,Ciena Corp,Telephone & Telegraph Apparatus,345.3599853515625,0.5954856872558594,0.30110002,+1y,市場比指引更樂觀,29.438566725585936,0.3257106746799336,0.1227314415433987,2026-08-01,"[datetime.date(2026, 9, 3)]",6021.0
LASR,"NLIGHT, INC.",Semiconductors & Related Devices,42.14500045776367,,0.1347,+1y,資料不足,,0.4323668936393854,-0.0546831499296747,2026-06-30,"[datetime.date(2026, 11, 6)]",311.0
ENPH,"Enphase Energy, Inc.",Semiconductors & Related Devices,38.52000045776367,1.1060447692871094,0.0641,+1y,市場比指引更樂觀,104.19447692871093,-0.0163913576291099,0.0685533157927448,2026-03-31,"[datetime.date(2026, 10, 28)]",1400.0
AAON,"AAON, INC.",Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,80.25,0.2649040222167969,0.1659,+1y,市場比指引更樂觀,9.900402221679688,0.5353415049050883,0.1104852235626048,2026-06-30,"[datetime.date(2026, 11, 5)]",1932.0
STRL,"STERLING INFRASTRUCTURE, INC.",Heavy Construction Other Than Bldg Const - Contractors,501.760009765625,0.1187858581542968,0.19860001,+1y,市場比指引更悲觀,-7.981415184570312,0.6082789871426026,0.1751791340723795,2026-06-30,"[datetime.date(2026, 11, 3)]",3438.0
RMBS,RAMBUS INC,Semiconductors & Related Devices,88.3499984741211,0.3311271667480469,0.19940001,+1y,市場比指引更樂觀,13.172715674804689,0.1911707137394556,0.3589131324056548,2026-03-31,"[datetime.date(2026, 10, 27)]",721.0
AIP,"Arteris, Inc.",Semiconductors & Related Devices,22.524999618530277,,0.21090001,+1y,資料不足,,0.3380827376810678,-0.4773267151214324,2026-06-30,"[datetime.date(2026, 11, 4)]",85.0
CLFD,"CLEARFIELD, INC.",Telephone & Telegraph Apparatus,29.25,,0.2229,+1y,資料不足,,0.3395287205014428,-0.002394960170771,2026-06-30,"[datetime.date(2026, 11, 25)]",154.0
CEVA,"Ceva, Inc.","Services-Computer Programming, Data Processing, Etc.",28.420000076293945,,0.13,+1y,資料不足,,,-0.0909888658237403,2026-06-30,"[datetime.date(2026, 11, 9)]",106.0
TROX,TRONOX HOLDINGS PLC,Industrial Inorganic Chemicals,4.775000095367432,,0.0454,+1y,資料不足,,0.0366225839267548,-0.071638861629048,2026-06-30,"[datetime.date(2026, 11, 5)]",3057.0
LMB,"LIMBACH HOLDINGS, INC.",Construction - Special Trade Contractors,49.65999984741211,0.7331123352050781,0.19790001,+1y,市場比指引更樂觀,53.52123252050781,0.23665672548782,0.0574549081490733,2026-06-30,"[datetime.date(2026, 11, 4)]",684.0
ON,ON SEMICONDUCTOR CORPORATION,Semiconductors & Related Devices,72.7699966430664,0.7121772766113281,0.1288,+1y,市場比指引更樂觀,58.33772766113281,-0.031412139776208,0.1080544709413017,2026-07-03,"[datetime.date(2026, 11, 2)]",6198.0
ARM,ARM HOLDINGS PLC /UK,Semiconductors & Related Devices,265.6849975585937,1.1779289245605469,0.3623,+1y,市場比指引更樂觀,81.56289245605468,0.2511526328561029,0.1700930954228083,2026-06-30,"[datetime.date(2026, 11, 5)]",5156.0
