event_id,ticker,cik,signal_q_end,t1,g0,q1_end,q2_end,q3_end,q4_end,yoy1,yoy2,yoy3,yoy4,m1,m2,guide_down,guide_detail,c1,c2,c3,ds_persist,ds_g2p,ds_g2lo,ds_g2hi,ds_g4p,ds_g4lo,ds_g4hi,ds_err_g2,ds_hit_g2,ds_err_g4,ds_hit_g4,opus_persist,opus_g2p,opus_g2lo,opus_g2hi,opus_g4p,opus_g4lo,opus_g4hi,opus_err_g2,opus_hit_g2,opus_err_g4,opus_hit_g4,c1_err,c2_err,c3_err,c1_hit2pp,c2_hit2pp,c3_hit2pp,persist_08,persist_alt,persist_07,persist_09,m1_ge_0.8g0,c2_predicts_persist,guide_snip
E001,PBH,0001295947,2014-12-31,2015-02-05,0.351503,2015-03-31,2015-06-30,2015-09-30,2015-12-31,0.3174218056787932,0.3186641226613225,0.13679117775240113,0.013101828891835199,0.31804296417005784,0.196494733746088,無,Q+1 無(0001295947-15-000013;cache); Q+2 無(0001295947-15-000019;cache),,-0.014657,0.351503,中,0.3,0.24,0.34,0.2,0.12,0.26,0.01804296417005785,True,0.0035052662539120094,True,低,0.28,0.22,0.34,0.18,0.11,0.26,0.038042964170057814,True,0.01649473374608801,True,,0.3326999641700578,0.03346003582994217,,False,False,True,False,True,True,True,False,
E009,SM,0000893538,2016-06-30,2016-08-03,-0.337757,2016-09-30,2016-12-31,2017-03-31,2017-06-30,-0.049820692925520826,0.2507654724199464,1.6051748720959491,-0.6468225409140644,0.10047238974721279,0.2898242776690776,有下修,Q+1 有下修(0000893538-16-000214;cache); Q+2 查不到(2016-12-31 季無業績事件),,-0.416543,-0.337757,中,-0.1,-0.25,0.05,-0.08,-0.3,0.12,0.2004723897472128,False,0.3698242776690776,False,低,-0.14,-0.24,-0.03,0.11,-0.04,0.32,0.2404723897472128,False,0.1798242776690776,True,,0.5170153897472127,0.43822938974721276,,False,False,False,False,False,False,True,False,"ional execution through continued cost management and performance, including reducing LOE guidance by more than 10% at the mid-point • Exceeding guidance range with production of 14.2 || rmance, including reducing LOE guidance by more than 10% at the mid-point • Exceeding guidance range with production of 14.2 MMBoe; oil production 31% of commodity mix DENVER, CO Nov || per Boe compared with $5.99"
E017,OSUR,0001116463,2017-06-30,2017-08-03,0.281163,2017-09-30,2017-12-31,2018-03-31,2018-06-30,0.31202133267185506,0.4656187498239388,0.29008173047379104,0.08584727200318598,0.38882004124789693,0.2883922712431927,無,Q+1 無(0001193125-17-329633;cache); Q+2 無(0001193125-18-034883;cache),,0.081773,0.281163,中,0.25,0.2,0.3,0.22,0.14,0.3,0.13882004124789693,False,0.06839227124319272,True,中,0.27,0.22,0.31,0.21,0.1,0.32,0.11882004124789691,False,0.07839227124319273,True,,0.30704704124789695,0.10765704124789693,,False,False,True,True,True,True,True,False,
E025,GPRO,0001500435,2018-06-30,2018-08-03,-0.046704,2018-09-30,2018-12-31,2019-03-31,2019-06-30,-0.13301496338745622,0.12718789949700704,0.1994702143852609,0.03449873884327337,-0.00291353194522459,0.057035472334521276,查不到,Q+1 無(0001500435-18-000048;cache); Q+2 查不到(2018-12-31 季無業績事件),,0.20772,-0.046704,中,0.0,-0.09,0.09,0.01,-0.1,0.14,0.00291353194522459,True,0.047035472334521274,True,低,0.0,-0.11,0.09,0.05,-0.06,0.14,0.00291353194522459,True,0.007035472334521273,True,,0.21063353194522458,0.04379046805477541,,False,False,True,True,True,True,True,True,
E033,BHC,0000885590,2019-03-31,2019-05-06,0.010526,2019-06-30,2019-09-30,2019-12-31,2020-03-31,0.011278195488721776,0.03417602996254687,0.0485619990570485,-0.001984126984126977,0.022727112725634324,0.023008024381047543,有下修,Q+1 有下修(0000885590-19-000023;cache); Q+2 無(0000885590-19-000035;cache),-0.372122,-0.039474,0.010526,中,0.01,-0.01,0.03,0.01,-0.02,0.04,0.012727112725634324,True,0.013008024381047542,True,中,0.01,-0.02,0.04,0.01,-0.03,0.04,0.012727112725634324,True,0.013008024381047542,True,0.39484911272563433,0.062201112725634326,0.012201112725634324,False,False,True,False,False,False,False,True,False,"Bausch Health's future prospects and performance, including the Company’s 2019 full-year guidance, and the expected catalysts to drive growth, including the Company’s plans to continue to"
E041,ROG,0000084748,2020-09-30,2020-10-30,-0.089694,2020-12-31,2021-03-31,2021-06-30,2021-09-30,0.08723834688906318,0.15318645943363007,0.2288642320187071,0.1798468882462465,0.12021240316134663,0.1622839816469117,無,Q+1 無(0000084748-21-000018;cache); Q+2 無(0000084748-21-000031;cache),,-0.134196,-0.089694,中,0.04,0.0,0.09,0.04,0.0,0.1,0.08021240316134662,False,0.1222839816469117,False,中,0.025,-0.03,0.09,0.06,0.0,0.15,0.09521240316134663,False,0.10228398164691171,False,,0.2544084031613466,0.20990640316134662,,False,False,True,True,True,True,True,False,
E049,MATX,0000003453,2021-06-30,2021-07-09,0.669338,2021-09-30,2021-12-31,2022-03-31,2022-06-30,0.6608803471791693,0.8097414655049278,0.6373981455465019,0.4414218767859184,0.7353109063420485,0.6373604587541293,查不到,Q+1 無(0001558370-21-013119;cache); Q+2 查不到(2021-12-31 季無業績事件),,0.186772,0.669338,中,0.4,0.2,0.55,0.25,0.05,0.45,0.3353109063420485,False,0.3873604587541293,False,高,0.55,0.3,0.85,0.4,0.15,0.7,0.1853109063420485,True,0.23736045875412926,True,,0.5485389063420485,0.06597290634204855,,False,False,True,True,True,True,True,False,
E057,TALO,0001724965,2022-06-30,2022-08-05,0.708821,2022-09-30,2022-12-31,2023-03-31,2023-06-30,0.29637790511809525,-0.10408032359832964,-0.21999874264325403,-0.2925821397266344,0.09614879075988281,-0.0800708252125307,查不到,Q+1 無(0001193125-22-276092;cache); Q+2 查不到(2022-12-31 季無業績事件),,1.135295,0.708821,中,0.26,0.0,0.45,0.07,-0.15,0.25,0.1638512092401172,True,0.1500708252125307,True,低,0.22,0.0,0.5,0.05,-0.2,0.35,0.1238512092401172,True,0.13007082521253072,True,,1.0391462092401171,0.6126722092401172,,False,False,False,False,False,False,False,True,
E065,CLX,0000021076,2022-12-31,2023-02-03,0.014193,2023-03-31,2023-06-30,2023-09-30,2023-12-31,0.058595909342177954,0.12104386451971116,-0.20344827586206893,0.16034985422740533,0.08981988693094456,0.03413533805680638,有下修,Q+1 有下修(0000021076-23-000013;cache); Q+2 查不到(2023-06-30 季無業績事件),,-0.040053,0.014193,中,0.01,-0.03,0.04,0.01,-0.04,0.05,0.07981988693094456,False,0.02413533805680638,True,中,0.01,-0.03,0.05,0.02,-0.03,0.07,0.07981988693094456,False,0.01413533805680638,True,,0.12987288693094456,0.07562688693094456,,False,False,False,False,False,False,True,False,"rate changes and any acquisitions or divestitures. • Organic sales growth / (decrease) outlook for fiscal year 2023 excludes the impact of foreign currency exchange rate changes, which"
E073,AEHR,0001040470,2024-08-30,2024-10-11,-0.363896,2024-11-29,2025-02-28,2025-05-30,2025-08-29,-0.3722644766926415,1.4206002908898587,-0.15126506024096387,-0.16388444241176914,0.5241679070986086,0.18329657788612105,無,Q+1 無(0001654954-25-000292;cache); Q+2 無(0001654954-25-004020;cache),0.247555,0.43789,-0.363896,中,0.3,-0.2,0.6,0.21,-0.2,0.5,0.22416790709860862,True,0.02670342211387894,True,中,0.6,0.25,0.95,0.45,0.12,0.85,0.07583209290139137,True,0.266703422113879,True,0.27661290709860864,0.08627790709860861,0.8880639070986086,False,False,False,True,True,True,True,True,True,
