event_id,ticker,model,scenario,price,value_per_share,pct_vs_price,note
E08,NKE,現金流,全真,64.96,33.66,-0.4819,"Δ收入-6% Δ毛利-4.0pp ⇒ Δ稅後現金流 -1.478e+09、損害後 4.643e+09;為維持現價,市場須付的無增長倍數升至 1.93 倍(補數)"
E08,NKE,現金流,部分真,64.96,40.23,-0.3807,"Δ收入-3% Δ毛利-1.5pp ⇒ Δ稅後現金流 -5.720e+08、損害後 5.549e+09;為維持現價,市場須付的無增長倍數升至 1.61 倍(補數)"
E08,NKE,現金流,不成立,64.96,43.53,-0.3299,"Δ收入-1% Δ毛利-0.3pp ⇒ Δ稅後現金流 -1.168e+08、損害後 6.004e+09;為維持現價,市場須付的無增長倍數升至 1.49 倍(補數)"
E08,NKE,現金流,現價要求,64.96,,,"現價隱含的無增長現金流倍數 1.46 倍(1.00 = 市場只按無增長定價;>1 = 現價已要求現金流高於現時,<1 = 現價低於無增長價值)(補數)"
E08,RH,現金流,全真,249.35,0.0,-1.0,"Δ收入-12% Δ毛利-5.0pp ⇒ Δ稅後現金流 -1.106e+08、損害後 -9.347e+07;為維持現價,市場須付的無增長倍數升至 inf 倍"
E08,RH,現金流,部分真,249.35,0.0,-1.0,"Δ收入-6% Δ毛利-2.0pp ⇒ Δ稅後現金流 -4.724e+07、損害後 -3.015e+07;為維持現價,市場須付的無增長倍數升至 inf 倍"
E08,RH,現金流,不成立,249.35,2.78,-0.9889,"Δ收入-2% Δ毛利-0.5pp ⇒ Δ稅後現金流 -1.231e+07、損害後 4.782e+06;為維持現價,市場須付的無增長倍數升至 89.84 倍"
E08,RH,現金流,現價要求,249.35,,,"現價隱含的無增長現金流倍數 25.13 倍(1.00 = 市場只按無增長定價;>1 = 現價已要求現金流高於現時,<1 = 現價低於無增長價值)"
E08,BBY,現金流,全真,75.73,65.64,-0.1332,"Δ收入-8% Δ毛利-3.0pp ⇒ Δ稅後現金流 -9.055e+08、損害後 1.193e+09;為維持現價,市場須付的無增長倍數升至 1.15 倍"
E08,BBY,現金流,部分真,75.73,94.68,0.2503,"Δ收入-4% Δ毛利-1.2pp ⇒ Δ稅後現金流 -3.779e+08、損害後 1.720e+09;為維持現價,市場須付的無增長倍數升至 0.80 倍"
E08,BBY,現金流,不成立,75.73,110.12,0.4542,"Δ收入-1% Δ毛利-0.3pp ⇒ Δ稅後現金流 -9.744e+07、損害後 2.001e+09;為維持現價,市場須付的無增長倍數升至 0.69 倍"
E08,BBY,現金流,現價要求,75.73,,,"現價隱含的無增長現金流倍數 0.66 倍(1.00 = 市場只按無增長定價;>1 = 現價已要求現金流高於現時,<1 = 現價低於無增長價值)"
E08,AAPL,現金流,全真,223.89,74.56,-0.667,"Δ收入-6% Δ毛利-2.0pp ⇒ Δ稅後現金流 -5.878e+09、損害後 1.024e+11;為維持現價,市場須付的無增長倍數升至 3.00 倍"
