series,year,cov_fwd_med,cov_fwd1_med,n_fwd_med,lowprec_med,months
MKT,2002,0.9830940327765989,0.9886479261616584,238.0,0.2561311493039131,12
MKT,2003,0.9867382016678057,0.9874401288597427,244.0,0.18838652370102427,12
MKT,2004,0.9771569419902554,0.9878133747112234,248.0,0.12427701427587931,12
MKT,2005,0.9788024847042436,0.9853688164577397,251.5,0.1087831120364244,12
MKT,2006,0.9832177322140572,0.9869282296068529,258.5,0.0898195227492081,12
MKT,2007,0.993372450603545,0.9935720676562088,272.0,0.09545112395253724,12
MKT,2008,0.9888368017450776,0.9923049781174325,281.0,0.19903968119575333,12
MKT,2009,0.9901060729907447,0.9904533821981829,290.0,0.17913587771447376,12
MKT,2010,0.9927744926372859,0.9927744926372859,303.0,0.13284282077532156,12
MKT,2011,0.9790373193130995,0.9915241140023043,305.0,0.0793881885623938,12
MKT,2012,0.9768136644198555,0.98243959386449,315.5,0.06568210249504844,12
MKT,2013,0.9791643693535484,0.9794296884587633,325.5,0.05428013866784004,12
MKT,2014,0.9891311461370773,0.9907737749778467,330.0,0.07290126612453696,12
MKT,2015,0.9880551095313528,0.9906066893002798,340.0,0.08310878711341357,12
MKT,2016,0.987156970333319,0.9872495359661193,354.5,0.07929977447175623,12
MKT,2017,0.9882290820910112,0.9882290820910112,367.5,0.07743695398455887,12
MKT,2018,0.9906868761037619,0.9906868761037619,374.0,0.07340392247802675,12
MKT,2019,0.9916328068974847,0.9923259318554121,384.0,0.10673261150690054,12
MKT,2020,0.9933645352678927,0.9935408231512877,401.0,0.11205350207949957,12
MKT,2021,0.9930377441285805,0.993233136619448,410.5,0.09341537953848353,12
MKT,2022,0.9967779649141666,0.9967779649141666,417.5,0.08370282926302508,12
MKT,2023,0.9971861665066073,0.9971861665066073,432.5,0.04619591662641365,12
MKT,2024,0.9975349392306012,0.9975349392306012,439.0,0.015424772794585002,12
MKT,2025,0.9925468353942031,0.997417282685688,438.0,0.01820858670539351,12
MKT,2026,0.0,0.9985266077415815,0.0,0.008523332772693886,8
XLB,2002,1.0,1.0,12.0,0.3408190915266419,12
XLB,2003,1.0,1.0,12.0,0.2596251087754742,12
XLB,2004,1.0,1.0,12.0,0.23990189113091337,12
XLB,2005,1.0,1.0,12.0,0.1302105888479222,12
XLB,2006,1.0,1.0,12.0,0.0,12
XLB,2007,1.0,1.0,12.0,0.0,12
XLB,2008,1.0,1.0,12.0,0.4935706177226461,12
XLB,2009,1.0,1.0,12.0,0.21411452719451513,12
XLB,2010,1.0,1.0,14.0,0.15672356474999316,12
XLB,2011,1.0,1.0,14.0,0.023457308353149957,12
XLB,2012,0.9056760771015878,1.0,14.5,0.025598438409482647,12
XLB,2013,1.0,1.0,16.0,0.07948970132424543,12
XLB,2014,1.0,1.0,16.0,0.22038693307232576,12
XLB,2015,0.8939228009738001,1.0,15.0,0.20152989206969402,12
XLB,2016,0.8869066081751398,0.8869066081751398,15.5,0.11929488796832644,12
XLB,2017,1.0,1.0,16.0,0.054583920726661836,12
XLB,2018,1.0,1.0,16.0,0.15543299200677016,12
XLB,2019,1.0,1.0,20.0,0.08302515174654845,12
XLB,2020,1.0,1.0,21.0,0.07792455230820425,12
XLB,2021,1.0,1.0,21.0,0.038562790191940005,12
XLB,2022,1.0,1.0,21.0,0.05193510311896638,12
XLB,2023,1.0,1.0,22.0,0.04551788552068835,12
XLB,2024,1.0,1.0,22.0,0.044489799772409015,12
XLB,2025,1.0,1.0,20.0,0.016858193709527063,12
XLB,2026,0.0,1.0,0.0,0.012435995985996682,8
XLE,2002,0.9761783572316713,0.9769221512996302,11.0,0.12357183456050994,12
XLE,2003,0.9999893862277023,0.9999893862277023,12.0,0.0856918443148817,12
XLE,2004,0.9999834826994312,0.9999834826994312,13.0,0.0527861625544248,12
XLE,2005,0.9999940736547144,0.9999940736547144,14.0,0.0,12
XLE,2006,0.9999911500449263,0.9999911500449263,16.0,0.0,12
XLE,2007,0.9999955944545511,0.9999955944545511,16.0,0.0,12
XLE,2008,0.9999973921577582,0.9999973921577582,17.0,0.003247575723239123,12
XLE,2009,0.995938297046156,0.995938297046156,17.0,0.022287658744159493,12
XLE,2010,0.9939415488302286,0.9939415488302286,19.0,0.03891828622684951,12
XLE,2011,0.9932474168189092,0.9932474168189092,19.5,0.02154473722413045,12
XLE,2012,0.9936040345562238,0.9936040345562238,22.0,0.019304587159109887,12
XLE,2013,0.9929944181542585,0.9929944181542585,22.0,0.024369854034884324,12
XLE,2014,0.9934698295307398,0.9934698295307398,23.0,0.2197908169416456,12
XLE,2015,0.9947881486610839,0.9947881486610839,22.0,0.3991234719975709,12
