ticker,membership,from_anchor,to_anchor,verdict,evidence
ADT,2012-10-02~2016-05-02,0001703056,(佔位錨),人手待辨,"今日持有人 0001703056 的申報由 2017-04-11 起,蓋不住成分期 2012-10-02~2016-05-02,它不可能是當時的持有人;它在成分期後才取得名稱(ADT Inc.、ADT, Inc.、Prime Security Services Parent, Inc.);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2017-04-11 晚過成分期結束 2016-05-02,當時它並不存在,故此不留它作錨,改用佔位錨"
APC,1997-07-28~2019-08-09,0002080921,(佔位錨),人手待辨,"今日持有人 0002080921 的申報由 2025-09-15 起,蓋不住成分期 1997-07-28~2019-08-09,它不可能是當時的持有人;它在成分期後才取得名稱(ARKO Petroleum Corp.);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2025-09-15 晚過成分期結束 2019-08-09,當時它並不存在,故此不留它作錨,改用佔位錨"
BBBY,1999-10-01~2023-09-20,0001130713,0000886158,代號回收·改錨,"今日持有人 0001130713 的申報由 2002-03-05 起,蓋不住成分期 1999-10-01~2017-07-26,它不可能是當時的持有人;它在成分期結束後才取得名稱「BED BATH & BEYOND, INC.」,而同一名稱在 SEC 名稱表上另有唯一一個候選 0000886158 同時滿足:申報由 1995-02-03 至 2023-12-04 整段覆蓋成分期,且已在 0001130713 取用該名稱之前放低它;判定代號回收,錨改回 0000886158;生效訖順延至 2023-09-20——代號屬原主的日子到它放低該名稱(或停止申報)為止,不是到它被剔出指數為止"
DOW,1996-01-02~2017-09-01,0001751788,(佔位錨),人手待辨,"今日持有人 0001751788 的申報由 2018-09-07 起,蓋不住成分期 1996-01-02~2017-09-01,它不可能是當時的持有人;它在成分期後才取得名稱(DOW INC.、Dow Holdings Inc.);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2018-09-07 晚過成分期結束 2017-09-01,當時它並不存在,故此不留它作錨,改用佔位錨"
DXC,1996-01-02~2015-12-01,0001688568,(佔位錨),人手待辨,"今日持有人 0001688568 的申報由 2016-11-02 起,蓋不住成分期 1996-01-02~2015-12-01,它不可能是當時的持有人;它在成分期後才取得名稱(DXC Technology Co、Everett SpinCo, Inc.);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2016-11-02 晚過成分期結束 2015-12-01,當時它並不存在,故此不留它作錨,改用佔位錨"
LB,1996-01-02~2021-08-03,0001995807,(佔位錨),人手待辨,"今日持有人 0001995807 的申報由 2023-10-11 起,蓋不住成分期 1996-01-02~2021-08-03,它不可能是當時的持有人;它在成分期後才取得名稱(LandBridge Co LLC);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2023-10-11 晚過成分期結束 2021-08-03,當時它並不存在,故此不留它作錨,改用佔位錨"
NE,2011-01-18~2020-11-05,0001895262,0001458891,代號回收·改錨,"今日持有人 0001895262 的申報由 2021-12-20 起,蓋不住成分期 2011-01-18~2015-07-20,它不可能是當時的持有人;它在成分期結束後才取得名稱「Noble Corp plc」,而同一名稱在 SEC 名稱表上另有唯一一個候選 0001458891 同時滿足:申報由 2009-03-27 至 2023-04-04 整段覆蓋成分期,且已在 0001895262 取用該名稱之前放低它;判定代號回收,錨改回 0001458891;生效訖順延至 2020-11-05——代號屬原主的日子到它放低該名稱(或停止申報)為止,不是到它被剔出指數為止"
POM,2007-11-09~2016-03-24,0001877971,(佔位錨),人手待辨,"今日持有人 0001877971 的申報由 2021-09-30 起,蓋不住成分期 2007-11-09~2016-03-24,它不可能是當時的持有人;它在成分期後才取得名稱(POMDOCTOR Ltd);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2021-09-30 晚過成分期結束 2016-03-24,當時它並不存在,故此不留它作錨,改用佔位錨"
SE,2007-01-03~2017-02-27,0001703399,(佔位錨),人手待辨,"今日持有人 0001703399 的申報由 2017-04-24 起,蓋不住成分期 2007-01-03~2017-02-27,它不可能是當時的持有人;它在成分期後才取得名稱(Sea Ltd);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2017-04-24 晚過成分期結束 2017-02-27,當時它並不存在,故此不留它作錨,改用佔位錨"
SNDK,2006-04-20~2019-05-07,0002023554,0001000180,代號回收·改錨,"今日持有人 0002023554 的申報由 2024-06-13 起,蓋不住成分期 2006-04-20~2016-05-12,它不可能是當時的持有人;它在成分期結束後才取得名稱「Sandisk Corp」,而同一名稱在 SEC 名稱表上另有唯一一個候選 0001000180 同時滿足:申報由 1996-05-29 至 2019-05-07 整段覆蓋成分期,且已在 0002023554 取用該名稱之前放低它;判定代號回收,錨改回 0001000180;生效訖順延至 2019-05-07——代號屬原主的日子到它放低該名稱(或停止申報)為止,不是到它被剔出指數為止"
STI,1996-01-02~2019-12-09,0001881551,(佔位錨),人手待辨,"今日持有人 0001881551 的申報由 2021-09-27 起,蓋不住成分期 1996-01-02~2019-12-09,它不可能是當時的持有人;它在成分期後才取得名稱(Nubia Brand International Corp.、Solidion Technology Inc.);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2021-09-27 晚過成分期結束 2019-12-09,當時它並不存在,故此不留它作錨,改用佔位錨"
