ticker,cik,valid_from,valid_to,display_name,verdict,evidence
AON,0000315293,1996-04-23,,Aon plc,今日對照,"成分期由 1996-04-23 起一路未結束,代號今日仍屬 0000315293"
AOS,0000091142,2017-07-26,,A. O. Smith,今日對照,"成分期由 2017-07-26 起一路未結束,代號今日仍屬 0000091142"
APA,0001841666,1997-07-28,,APA Corporation,今日對照,"成分期由 1997-07-28 起一路未結束,代號今日仍屬 0001841666"
APD,0000002969,1996-01-02,,Air Products,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000002969"
APH,0000820313,2008-09-30,,Amphenol,今日對照,"成分期由 2008-09-30 起一路未結束,代號今日仍屬 0000820313"
APO,0001858681,2024-12-23,,Apollo Global Management,今日對照,"成分期由 2024-12-23 起一路未結束,代號今日仍屬 0001858681"
APP,0001751008,2025-09-22,,AppLovin,今日對照,"成分期由 2025-09-22 起一路未結束,代號今日仍屬 0001751008"
APTV,0001521332,2012-12-24,,Aptiv,今日對照,"成分期由 2012-12-24 起一路未結束,代號今日仍屬 0001521332"
ARE,0001035443,2017-03-20,,Alexandria Real Estate Equities,今日對照,"成分期由 2017-03-20 起一路未結束,代號今日仍屬 0001035443"
ARES,0001176948,2025-12-11,,Ares Management,今日對照,"成分期由 2025-12-11 起一路未結束,代號今日仍屬 0001176948"
ATI,0001018963,1996-01-02,2015-07-02,,人手待辨,"今日持有人 0001018963 的申報由 1996-07-17 起,蓋不住成分期 1996-01-02~2015-07-02,它不可能是當時的持有人;它在成分期後才取得名稱(ATI INC);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 1996-07-17 落在成分期之內,可能是期中成立的繼承實體,排除不了,暫時保留原錨"
ATO,0000731802,2019-02-15,,Atmos Energy,今日對照,"成分期由 2019-02-15 起一路未結束,代號今日仍屬 0000731802"
AVB,0000915912,2007-01-10,,,今日對照,"成分期由 2007-01-10 起一路未結束,代號今日仍屬 0000915912"
AVGO,0001730168,2014-05-08,,Broadcom,今日對照,"成分期由 2014-05-08 起一路未結束,代號今日仍屬 0001730168"
AVY,0000008818,1996-01-02,,Avery Dennison,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000008818"
AWK,0001410636,2016-03-04,,American Water Works,今日對照,"成分期由 2016-03-04 起一路未結束,代號今日仍屬 0001410636"
AXON,0001069183,2023-05-04,,Axon Enterprise,今日對照,"成分期由 2023-05-04 起一路未結束,代號今日仍屬 0001069183"
AXP,0000004962,1996-01-02,,American Express,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000004962"
AYI,0001144215,2016-05-03,2018-06-18,,同一實體改名·非回收,"0001144215 的申報由 2001-07-03 至 2026-07-06,一路貫穿成分期 2016-05-03~2018-06-18(期內名稱:ACUITY BRANDS INC);成分期後改名為「ACUITY INC. (DE)」是它自己改名,不是代號易主"
AZO,0000866787,1997-01-02,,AutoZone,今日對照,"成分期由 1997-01-02 起一路未結束,代號今日仍屬 0000866787"
BA,0000012927,1996-01-02,,Boeing,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000012927"
BAC,0000070858,1996-01-02,,Bank of America,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000070858"
BALL,0000009389,2022-05-10,,Ball Corporation,今日對照,"成分期由 2022-05-10 起一路未結束,代號今日仍屬 0000009389"
BAX,0000010456,1996-01-02,,Baxter International,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000010456"
BBT,0001108134,1997-12-04,2019-12-09,,人手待辨,"今日持有人 0001108134 的申報由 2000-03-10 起,蓋不住成分期 1997-12-04~2019-12-09,它不可能是當時的持有人;它在成分期後才取得名稱(Beacon Financial Corp);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2000-03-10 落在成分期之內,可能是期中成立的繼承實體,排除不了,暫時保留原錨"
BBWI,0000701985,2021-08-03,2024-10-01,,今日對照·已核實,"成分期 2021-08-03~2024-10-01 結束後,0000701985 未改過名(現名 Bath & Body Works, Inc.);視為同一實體一路持有"
BBY,0000764478,1999-06-30,,Best Buy,今日對照,"成分期由 1999-06-30 起一路未結束,代號今日仍屬 0000764478"
BDX,0000010795,1996-01-02,,Becton Dickinson,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000010795"
BEN,0000038777,1998-04-29,,Franklin Resources,今日對照,"成分期由 1998-04-29 起一路未結束,代號今日仍屬 0000038777"
BF-B,0000014693,1996-01-02,,Brown–Forman,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000014693"
BG,0001996862,2023-03-15,,Bunge Global,今日對照,"成分期由 2023-03-15 起一路未結束,代號今日仍屬 0001996862"
BHF,0001685040,2017-08-07,2019-04-02,,今日對照·已核實,"成分期 2017-08-07~2019-04-02 結束後,0001685040 未改過名(現名 Brighthouse Financial, Inc.);視為同一實體一路持有"
BIIB,0000875045,2003-11-13,,Biogen,今日對照,"成分期由 2003-11-13 起一路未結束,代號今日仍屬 0000875045"
BIO,0000012208,2020-06-22,2024-09-23,,今日對照·已核實,"成分期 2020-06-22~2024-09-23 結束後,0000012208 未改過名(現名 BIO-RAD LABORATORIES, INC.);視為同一實體一路持有"
BKNG,0001075531,2009-11-06,,Booking Holdings,今日對照,"成分期由 2009-11-06 起一路未結束,代號今日仍屬 0001075531"
BKR,0001701605,2019-10-18,,Baker Hughes,今日對照,"成分期由 2019-10-18 起一路未結束,代號今日仍屬 0001701605"
BLDR,0001316835,2023-12-18,,Builders FirstSource,今日對照,"成分期由 2023-12-18 起一路未結束,代號今日仍屬 0001316835"
BLK,0002012383,2011-04-04,,BlackRock,今日對照,"成分期由 2011-04-04 起一路未結束,代號今日仍屬 0002012383"
BMY,0000014272,1996-01-02,,Bristol Myers Squibb,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000014272"
BNY,0001390777,2026-05-21,,BNY Mellon,今日對照,"成分期由 2026-05-21 起一路未結束,代號今日仍屬 0001390777"
BR,0001383312,2018-06-18,,Broadridge Financial Solutions,今日對照,"成分期由 2018-06-18 起一路未結束,代號今日仍屬 0001383312"
BRK-B,0001067983,2010-02-16,,Berkshire Hathaway,今日對照,"成分期由 2010-02-16 起一路未結束,代號今日仍屬 0001067983"
BRO,0000079282,2021-09-20,,Brown & Brown,今日對照,"成分期由 2021-09-20 起一路未結束,代號今日仍屬 0000079282"
BSX,0000885725,1996-01-02,,Boston Scientific,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000885725"
BWA,0000908255,2011-12-19,2025-03-24,,今日對照·已核實,"成分期 2011-12-19~2025-03-24 結束後,0000908255 未改過名(現名 BORGWARNER INC);視為同一實體一路持有"
BX,0001393818,2023-09-18,,Blackstone Inc.,今日對照,"成分期由 2023-09-18 起一路未結束,代號今日仍屬 0001393818"
BXP,0001037540,2006-04-03,,"BXP, Inc.",今日對照,"成分期由 2006-04-03 起一路未結束,代號今日仍屬 0001037540"
C,0000831001,1996-01-02,,Citigroup,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000831001"
CAG,0000023217,1996-01-02,2026-06-30,,今日對照·已核實,"成分期 1996-01-02~2026-06-30 結束後,0000023217 未改過名(現名 CONAGRA BRANDS INC.);視為同一實體一路持有"
CAH,0000721371,1997-05-27,,Cardinal Health,今日對照,"成分期由 1997-05-27 起一路未結束,代號今日仍屬 0000721371"
CARR,0001783180,2020-04-03,,Carrier Global,今日對照,"成分期由 2020-04-03 起一路未結束,代號今日仍屬 0001783180"
CASY,0000726958,2026-04-09,,Casey's,今日對照,"成分期由 2026-04-09 起一路未結束,代號今日仍屬 0000726958"
CAT,0000018230,1996-01-02,,Caterpillar Inc.,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000018230"
CB,0000896159,1996-01-02,,Chubb Limited,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000896159"
CBOE,0001374310,2017-03-01,,Cboe Global Markets,今日對照,"成分期由 2017-03-01 起一路未結束,代號今日仍屬 0001374310"
CBRE,0001138118,2006-11-10,,CBRE Group,今日對照,"成分期由 2006-11-10 起一路未結束,代號今日仍屬 0001138118"
CCEP,0001650107,2016-01-04,2016-05-31,,同一實體改名·非回收,"0001650107 的申報由 2015-08-06 至 2026-08-24,一路貫穿成分期 2016-01-04~2016-05-31(期內名稱:COCA-COLA EUROPEAN PARTNERS LTD、COCA-COLA EUROPEAN PARTNERS plc);成分期後改名為「COCA-COLA EUROPACIFIC PARTNERS plc」是它自己改名,不是代號易主"
CCI,0001051470,2012-03-13,,Crown Castle,今日對照,"成分期由 2012-03-13 起一路未結束,代號今日仍屬 0001051470"
CCL,0000815097,1998-12-22,,Carnival Corporation,今日對照,"成分期由 1998-12-22 起一路未結束,代號今日仍屬 0000815097"
CDNS,0000813672,2017-09-18,,Cadence Design Systems,今日對照,"成分期由 2017-09-18 起一路未結束,代號今日仍屬 0000813672"
CDW,0001402057,2019-09-23,,CDW Corporation,今日對照,"成分期由 2019-09-23 起一路未結束,代號今日仍屬 0001402057"
CE,0001306830,2018-12-24,2025-03-24,,今日對照·已核實,"成分期 2018-12-24~2025-03-24 結束後,0001306830 未改過名(現名 Celanese Corp);視為同一實體一路持有"
CEG,0001868275,2022-02-02,,Constellation Energy,今日對照,"成分期由 2022-02-02 起一路未結束,代號今日仍屬 0001868275"
CF,0001324404,2008-08-27,,CF Industries,今日對照,"成分期由 2008-08-27 起一路未結束,代號今日仍屬 0001324404"
CFG,0000759944,2016-02-01,,Citizens Financial Group,今日對照,"成分期由 2016-02-01 起一路未結束,代號今日仍屬 0000759944"
CHD,0000313927,2015-12-29,,Church & Dwight,今日對照,"成分期由 2015-12-29 起一路未結束,代號今日仍屬 0000313927"
CHRW,0001043277,2007-03-02,,C.H. Robinson,今日對照,"成分期由 2007-03-02 起一路未結束,代號今日仍屬 0001043277"
CHTR,0001091667,2016-09-08,,Charter Communications,今日對照,"成分期由 2016-09-08 起一路未結束,代號今日仍屬 0001091667"
CI,0001739940,1996-01-02,,Cigna,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0001739940"
CIEN,0000936395,2026-02-09,,Ciena,今日對照,"成分期由 2026-02-09 起一路未結束,代號今日仍屬 0000936395"
CINF,0000020286,1997-12-18,,Cincinnati Financial,今日對照,"成分期由 1997-12-18 起一路未結束,代號今日仍屬 0000020286"
CL,0000021665,1996-01-02,,Colgate-Palmolive,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000021665"
CLX,0000021076,1996-01-02,,Clorox,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000021076"
CMCSA,0001166691,1996-01-02,,Comcast,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0001166691"
CME,0001156375,2006-08-11,,CME Group,今日對照,"成分期由 2006-08-11 起一路未結束,代號今日仍屬 0001156375"
CMG,0001058090,2011-04-28,,Chipotle Mexican Grill,今日對照,"成分期由 2011-04-28 起一路未結束,代號今日仍屬 0001058090"
CMI,0000026172,1996-01-02,,Cummins,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000026172"
CMS,0000811156,1999-05-03,,CMS Energy,今日對照,"成分期由 1999-05-03 起一路未結束,代號今日仍屬 0000811156"
CNC,0001071739,2016-03-30,,Centene Corporation,今日對照,"成分期由 2016-03-30 起一路未結束,代號今日仍屬 0001071739"
CNP,0001130310,1996-01-02,,CenterPoint Energy,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0001130310"
CNX,0001070412,2006-06-28,2016-03-04,,同一實體改名·非回收,"0001070412 的申報由 1998-12-15 至 2026-08-17,一路貫穿成分期 2006-06-28~2016-03-04(期內名稱:CONSOL ENERGY INC、CONSOL Energy Inc);成分期後改名為「CNX Resources Corp」是它自己改名,不是代號易主"
COF,0000927628,1998-07-01,,Capital One,今日對照,"成分期由 1998-07-01 起一路未結束,代號今日仍屬 0000927628"
COHR,0000820318,2026-03-23,,Coherent Corp.,今日對照,"成分期由 2026-03-23 起一路未結束,代號今日仍屬 0000820318"
COIN,0001679788,2025-05-19,,Coinbase,今日對照,"成分期由 2025-05-19 起一路未結束,代號今日仍屬 0001679788"
COL,,2001-07-02,2018-11-27,,佔位錨,"成分期 2001-07-02~2018-11-27 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
COO,0000711404,2016-09-23,,Cooper Companies (The),今日對照,"成分期由 2016-09-23 起一路未結束,代號今日仍屬 0000711404"
COP,0001163165,1996-01-02,,ConocoPhillips,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0001163165"
COR,0001140859,2023-08-30,,Cencora,今日對照,"成分期由 2023-08-30 起一路未結束,代號今日仍屬 0001140859"
COST,0000909832,1996-01-02,,Costco,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000909832"
COTY,0001024305,2016-10-03,2020-09-21,,今日對照·已核實,"成分期 2016-10-03~2020-09-21 結束後,0001024305 未改過名(現名 COTY INC.);視為同一實體一路持有"
CPAY,0001175454,2024-03-25,,Corpay,今日對照,"成分期由 2024-03-25 起一路未結束,代號今日仍屬 0001175454"
CPB,0000016732,1996-01-02,2026-06-22,,今日對照·已核實,"成分期 1996-01-02~2026-06-22 結束後,0000016732 未改過名(現名 CAMPBELL'S Co);視為同一實體一路持有"
CPRI,0001530721,2016-01-04,2020-05-12,,今日對照·已核實,"成分期 2016-01-04~2020-05-12 結束後,0001530721 未改過名(現名 Capri Holdings Ltd);視為同一實體一路持有"
CPRT,0000900075,2018-07-02,,Copart,今日對照,"成分期由 2018-07-02 起一路未結束,代號今日仍屬 0000900075"
CPT,0000906345,2022-04-04,,Camden Property Trust,今日對照,"成分期由 2022-04-04 起一路未結束,代號今日仍屬 0000906345"
CRH,0000849395,2025-12-22,,CRH plc,今日對照,"成分期由 2025-12-22 起一路未結束,代號今日仍屬 0000849395"
CRL,0001100682,2021-05-14,,Charles River Laboratories,今日對照,"成分期由 2021-05-14 起一路未結束,代號今日仍屬 0001100682"
CRM,0001108524,2008-09-15,,Salesforce,今日對照,"成分期由 2008-09-15 起一路未結束,代號今日仍屬 0001108524"
CRWD,0001535527,2024-06-24,,CrowdStrike,今日對照,"成分期由 2024-06-24 起一路未結束,代號今日仍屬 0001535527"
CSCO,0000858877,1996-01-02,,Cisco,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000858877"
CSGP,0001057352,2022-09-19,,CoStar Group,今日對照,"成分期由 2022-09-19 起一路未結束,代號今日仍屬 0001057352"
CSX,0000277948,1996-01-02,,CSX Corporation,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000277948"
CTAS,0000723254,2001-03-01,,Cintas,今日對照,"成分期由 2001-03-01 起一路未結束,代號今日仍屬 0000723254"
CTSH,0001058290,2006-11-17,,Cognizant,今日對照,"成分期由 2006-11-17 起一路未結束,代號今日仍屬 0001058290"
CTVA,0001755672,2019-06-03,,Corteva,今日對照,"成分期由 2019-06-03 起一路未結束,代號今日仍屬 0001755672"
CVNA,0001690820,2025-12-22,,Carvana,今日對照,"成分期由 2025-12-22 起一路未結束,代號今日仍屬 0001690820"
CVS,0000064803,1996-01-02,,CVS Health,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000064803"
CVX,0000093410,1996-01-02,,Chevron Corporation,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000093410"
CZR,0001590895,2021-03-22,2025-09-22,,今日對照·已核實,"成分期 2021-03-22~2025-09-22 結束後,0001590895 未改過名(現名 Caesars Entertainment, Inc.);視為同一實體一路持有"
D,0000715957,1996-01-02,,Dominion Energy,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000715957"
DAL,0000027904,2013-09-11,,Delta Air Lines,今日對照,"成分期由 2013-09-11 起一路未結束,代號今日仍屬 0000027904"
DASH,0001792789,2025-03-24,,DoorDash,今日對照,"成分期由 2025-03-24 起一路未結束,代號今日仍屬 0001792789"
DD,0001666700,1996-01-02,2017-09-01,DuPont,人手待辨,"今日持有人 0001666700 的申報由 2016-03-01 起,蓋不住成分期 1996-01-02~2017-09-01,它不可能是當時的持有人;它在成分期後才取得名稱(DuPont de Nemours, Inc.);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2016-03-01 落在成分期之內,可能是期中成立的繼承實體,排除不了,暫時保留原錨"
DDOG,0001561550,2025-07-09,,Datadog,今日對照,"成分期由 2025-07-09 起一路未結束,代號今日仍屬 0001561550"
DE,0000315189,1996-01-02,,Deere & Company,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000315189"
DECK,0000910521,2024-03-18,,Deckers Brands,今日對照,"成分期由 2024-03-18 起一路未結束,代號今日仍屬 0000910521"
DELL,0001571996,2024-09-23,,Dell Technologies,今日對照,"成分期由 2024-09-23 起一路未結束,代號今日仍屬 0001571996"
DG,0000029534,2012-12-03,,Dollar General,今日對照,"成分期由 2012-12-03 起一路未結束,代號今日仍屬 0000029534"
DGX,0001022079,2002-12-12,,Quest Diagnostics,今日對照,"成分期由 2002-12-12 起一路未結束,代號今日仍屬 0001022079"
DHI,0000882184,2005-07-05,,D. R. Horton,今日對照,"成分期由 2005-07-05 起一路未結束,代號今日仍屬 0000882184"
DHR,0000313616,1998-11-18,,Danaher Corporation,今日對照,"成分期由 1998-11-18 起一路未結束,代號今日仍屬 0000313616"
DIS,0001744489,1996-01-02,,Walt Disney Company (The),今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0001744489"
DLR,0001297996,2016-05-18,,Digital Realty,今日對照,"成分期由 2016-05-18 起一路未結束,代號今日仍屬 0001297996"
DLTR,0000935703,2011-12-19,,Dollar Tree,今日對照,"成分期由 2011-12-19 起一路未結束,代號今日仍屬 0000935703"
DOC,0000765880,2024-03-04,,Healthpeak Properties,今日對照,"成分期由 2024-03-04 起一路未結束,代號今日仍屬 0000765880"
DOV,0000029905,1996-01-02,,Dover Corporation,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000029905"
DOW,0001751788,2019-04-02,,Dow Inc.,今日對照,"成分期由 2019-04-02 起一路未結束,代號今日仍屬 0001751788"
DPZ,0001286681,2020-05-12,,Domino's,今日對照,"成分期由 2020-05-12 起一路未結束,代號今日仍屬 0001286681"
DRI,0000940944,1996-01-02,,Darden Restaurants,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000940944"
DTE,0000936340,1996-01-02,,DTE Energy,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000936340"
DUK,0001326160,1996-01-02,,Duke Energy,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0001326160"
DVA,0000927066,2008-07-31,,DaVita,今日對照,"成分期由 2008-07-31 起一路未結束,代號今日仍屬 0000927066"
DVN,0001090012,2000-08-30,,Devon Energy,今日對照,"成分期由 2000-08-30 起一路未結束,代號今日仍屬 0001090012"
DXC,,1996-01-02,2015-12-01,,人手待辨,"今日持有人 0001688568 的申報由 2016-11-02 起,蓋不住成分期 1996-01-02~2015-12-01,它不可能是當時的持有人;它在成分期後才取得名稱(DXC Technology Co、Everett SpinCo, Inc.);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2016-11-02 晚過成分期結束 2015-12-01,當時它並不存在,故此不留它作錨,改用佔位錨"
DXCM,0001093557,2020-05-12,,Dexcom,今日對照,"成分期由 2020-05-12 起一路未結束,代號今日仍屬 0001093557"
EA,,2002-07-22,,,佔位錨,"成分期仍未結束,但今日的代號→CIK 對照查無此代號"
EBAY,0001065088,2002-07-22,,eBay Inc.,今日對照,"成分期由 2002-07-22 起一路未結束,代號今日仍屬 0001065088"
ECHO,0001415404,2026-06-24,,EchoStar,今日對照,"成分期由 2026-06-24 起一路未結束,代號今日仍屬 0001415404"
ECL,0000031462,1996-01-02,,Ecolab,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000031462"
ED,0001047862,1996-01-02,,Consolidated Edison,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0001047862"
EFX,0000033185,1997-06-19,,Equifax,今日對照,"成分期由 1997-06-19 起一路未結束,代號今日仍屬 0000033185"
EG,0001095073,2023-07-10,,Everest Group,今日對照,"成分期由 2023-07-10 起一路未結束,代號今日仍屬 0001095073"
EIX,0000827052,1996-01-02,,Edison International,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000827052"
EL,0001001250,2006-01-05,,Estée Lauder Companies (The),今日對照,"成分期由 2006-01-05 起一路未結束,代號今日仍屬 0001001250"
ELV,0001156039,2022-06-28,,Elevance Health,今日對照,"成分期由 2022-06-28 起一路未結束,代號今日仍屬 0001156039"
EME,0000105634,2025-09-22,,Emcor,今日對照,"成分期由 2025-09-22 起一路未結束,代號今日仍屬 0000105634"
EMN,0000915389,1996-01-02,2025-11-04,,今日對照·已核實,"成分期 1996-01-02~2025-11-04 結束後,0000915389 未改過名(現名 EASTMAN CHEMICAL CO);視為同一實體一路持有"
EMR,0000032604,1996-01-02,,Emerson Electric,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000032604"
ENPH,0001463101,2021-01-07,2025-09-22,,今日對照·已核實,"成分期 2021-01-07~2025-09-22 結束後,0001463101 未改過名(現名 Enphase Energy, Inc.);視為同一實體一路持有"
