event_id,kind,year,bucket,accessionNumber,cik,ticker,reaction_date,signal_q_end,fiscal_quarter,improvement_type,C1_guidance_implied_growth,C1_note,C1_snippet,C2_prev4_avg_yoy,C2_note,C3_g0
E001,main,2015,醫療,0000930413-15-003523,0000744187,REX,2015-08-27,2015-07-31,2015Q3,加速,,指引抓不到,,-0.191277,,-0.24463
E002,main,2015,醫療,0001193125-15-156483,0001323885,ATRC,2015-04-30,2015-03-31,2015Q1,指引,,指引抓不到,,0.311256,,0.202801
E003,main,2015,科技與軟件,0001144204-15-025680,0000902791,BBSI,2015-04-29,2015-03-31,2015Q1,兩者,,指引抓不到,,0.194437,,0.235141
E004,main,2015,金融地產,0001193125-15-267134,0001094831,BGC,2015-07-29,2015-06-30,2015Q2,加速,,指引抓不到,,-0.102566,,0.602398
E005,main,2015,消費與零售,0000745732-15-000026,0000745732,ROST,2015-11-20,2015-10-31,2015Q4,指引,-0.238062,指引中值換算,"ts speak only as of the date they are given and do not necessarily reflect our outlook at any other point in time. We do not undertake to update or revise these forward-looking statements. Ross Stores, Inc. is an S&P 500, Fortune 500 and Nasdaq 100 (ROST) company headquartered in Dublin, California, with fiscal 2014 revenues of $11.0 billion. The Company operates Ross Dress for Less ® (“Ross”), th",0.093407,,0.070815
E006,main,2015,消費與零售,0001157523-15-002797,0001113809,BBW,2015-08-06,2015-07-04,2015Q3,加速,,指引抓不到,,-0.03858,,0.062507
E007,main,2015,製造與工業,0000880266-15-000006,0000880266,AGCO,2015-02-03,,,指引,,無 EX-99.1 文本,,,資料不足,
E008,main,2015,製造與工業,0001193125-15-267025,0001580905,IBP,2015-07-29,2015-06-30,2015Q2,加速,,指引抓不到,,0.215548,,0.263914
E009,main,2016,能源原材料公用,0001486159-16-000111,0001486159,CHRD,2016-08-04,,,指引,,無 EX-99.1 文本,,,資料不足,
E010,main,2016,醫療,0001564590-16-028319,0000921299,KYNB,2016-11-09,2016-09-30,2016Q3,加速,,指引抓不到,,0.31152,,0.54069
E011,main,2016,醫療,0001171843-16-012985,0000882796,BCRX,2016-11-07,2016-09-30,2016Q3,兩者,,指引抓不到,,0.282383,,-0.293438
E012,main,2016,科技與軟件,0001002638-16-000051,0001002638,OTEX,2016-02-10,2015-12-31,2015Q4,加速,,指引抓不到,,0.163523,,-0.005339
