事件,家,代號,敘事適用度,輪次,編號,可證偽的預測,勝率區間,核的日期,核的文件,證偽出場價,證偽出場價算式,支不支持買入,作廢前提
2026 SaaSpocalypse,Salesforce,CRM,部分適用,第一輪,CRM-P1,下一份 10-K(FY26)披露的 attrition rate(剔除 Slack self-service 口徑)≤ 9.0%;基準 FY25 10-K 約 8%,65%-75%,估 2026-03,FY26 10-K,145.0,"收入 38,000 × 3.5 EV/S = 133,000;加淨現金 2,885 = 135,885;÷ 937 百萬股 = 每股約 145.0","支持,但不是單獨的買入理由——流失率守住只證明敘事不適用,買入要另有估值一關",
2026 SaaSpocalypse,Salesforce,CRM,部分適用,第一輪,CRM-P2,FY26 Q4 業績披露的 cRPO 按年增長 ≥ 8%;基準 2025-12-03 為 +11%,60%-70%,估 2026-03,FY26 Q4 業績 8-K,145.0,"收入 38,000 × 3.5 EV/S = 133,000;加淨現金 2,885 = 135,885;÷ 937 百萬股 = 每股約 145.0","支持,但不是單獨的買入理由——流失率守住只證明敘事不適用,買入要另有估值一關",
2026 SaaSpocalypse,ServiceNow,NOW,部分適用,第一輪,NOW-P1,2026 年第一季業績披露的 cRPO 按年增長 ≥ 18.5%;基準 2026-01-28 為 +25%,60%-70%,估 2026-04,2026 Q1 業績 8-K,91.5,"收入 14,500 × 6 EV/S = 87,000;加淨現金 8,186 = 95,186;÷ 10.40 億股(2025-12-18 五拆一還原後)= 每股約 91.5","不支持——「部分適用」代表跌只對一半(此理由不受倍數影響)。註:原文「以 21× 銷售計沒有安全邊際」一句已作廢,拆股還原後現價約 10.4× 銷售,估值那一層論據已不成立",
2026 SaaSpocalypse,ServiceNow,NOW,部分適用,第一輪,NOW-P2,2026 年第一季披露的「customers with more than $5 million in ACV」≥ 610 家;基準 603 家,60%-70%,估 2026-04,2026 Q1 業績 8-K,91.5,"收入 14,500 × 6 EV/S = 87,000;加淨現金 8,186 = 95,186;÷ 10.40 億股(2025-12-18 五拆一還原後)= 每股約 91.5","不支持——「部分適用」代表跌只對一半(此理由不受倍數影響)。註:原文「以 21× 銷售計沒有安全邊際」一句已作廢,拆股還原後現價約 10.4× 銷售,估值那一層論據已不成立",
2026 SaaSpocalypse,HubSpot,HUBS,高度適用,第一輪,HUBS-P1,"2025 年第四季的季度淨增客戶數 ≥ 8,000 家;基準 Q3'25 淨增 10,898 家",40%-50%,估 2026-02,Q4'25 業績 8-K,142.4,"收入 2,900 × 2.0 EV/S = 5,800;加淨現金 1,658 = 7,458;÷ 52.386 百萬股 = 每股約 142.4",會把「高度適用」判級推翻、屆時才值得重新評估;但單憑守住不構成買入,
2026 SaaSpocalypse,HubSpot,HUBS,高度適用,第一輪,HUBS-P2,"2025 年第四季的 Average Subscription Revenue Per Customer 按年變化 ≥ 0%;基準 Q3'25 為 $11,578、按年 +3%",40%-50%,估 2026-02,Q4'25 業績 8-K,142.4,"收入 2,900 × 2.0 EV/S = 5,800;加淨現金 1,658 = 7,458;÷ 52.386 百萬股 = 每股約 142.4",會把「高度適用」判級推翻、屆時才值得重新評估;但單憑守住不構成買入,
2026 SaaSpocalypse,Paycom,PAYC,大致不適用,第一輪,PAYC-P1,FY2025 10-K 披露的 annual revenue retention rate ≥ 89%;基準 FY2024 與 FY2023 均為 90%,70%-80%,估 2026-02,FY2025 10-K,124.8,"收入 1,900 × 3.5 EV/S = 6,650;加淨現金 375 = 7,025;÷ 56.269 百萬股 = 每股約 124.8",支持——Q1–Q3 三格全部指向機制不成立;不過買入仍要過估值一關,
2026 SaaSpocalypse,Paycom,PAYC,大致不適用,第一輪,PAYC-P2,FY2025 全年「Recurring and other」收入按年增長 ≥ 6%;基準 Q3'25 總收入按年 +9.1%,60%-70%,估 2026-02,Q4'25 / FY2025 業績 8-K,124.8,"收入 1,900 × 3.5 EV/S = 6,650;加淨現金 375 = 7,025;÷ 56.269 百萬股 = 每股約 124.8",支持——Q1–Q3 三格全部指向機制不成立;不過買入仍要過估值一關,
2026 SaaSpocalypse,RingCentral,RNG,部分適用,第一輪,RNG-P1,2025 年第四季披露的 ARR 按年增長 ≥ 3%;基準 2025-11-03 為 26.3 億美元、按年 +6%,60%-70%,估 2026-02,Q4'25 業績 8-K,36.0,"收入 2,350 × 1.8 EV/S = 4,230;減淨債務 1,111.5 = 3,118.5;÷ 86.565 百萬股 = 每股約 36.0","不支持——「部分適用」本身代表跌對一半,再加淨債務 11.1 億與 2026-03 可轉債到期",
2026 SaaSpocalypse,RingCentral,RNG,部分適用,第一輪,RNG-P2,2025 年第四季或 2026 年第一季披露的 AI-led product portfolio ARR ≥ 1.1 億美元;基準「approaching $100 million」,55%-70%,估 2026-02(若未更新順延至估 2026-05),Q4'25 業績 8-K(或 Q1'26 業績 8-K),36.0,"收入 2,350 × 1.8 EV/S = 4,230;減淨債務 1,111.5 = 3,118.5;÷ 86.565 百萬股 = 每股約 36.0","不支持——「部分適用」本身代表跌對一半,再加淨債務 11.1 億與 2026-03 可轉債到期",
2026 SaaSpocalypse,Domo,DOMO,部分適用,第一輪,DOMO-P1,FY2026 10-K 披露的 net revenue retention ≥ 90%;基準 FY2025 為 89%,40%-50%,估 2026-04,FY2026 10-K,1.64,收入 290 × 0.5 EV/S = 145;減淨債務 76.3 = 68.7;÷ 41.798 百萬股 = 每股約 1.64,"不支持——即使 NRR 止跌,也只證明敘事的一半不成立,而財務結構不容許犯錯",
2026 SaaSpocalypse,Domo,DOMO,部分適用,第一輪,DOMO-P2,FY2026 Q4 披露的 current subscription RPO 按年增長 ≥ 0%;基準 2.141 億美元、按年 +3%,50%-60%,估 2026-03,FY26 Q4 / 全年業績,1.64,收入 290 × 0.5 EV/S = 145;減淨債務 76.3 = 68.7;÷ 41.798 百萬股 = 每股約 1.64,"不支持——即使 NRR 止跌,也只證明敘事的一半不成立,而財務結構不容許犯錯",
2026 SaaSpocalypse,Atlassian,TEAM,部分適用,第一輪,T1,"FY26 Q4(期末 2026-06-30)披露的「>$10,000 Cloud ARR 客戶數」≥ 56,000;基準 53,017",60%-72%,估 2026-08,8-K 附件 99.1(FY26 Q4/全年業績稿),85,"收入 6,300 × 3.25 EV/S = 20,475;加淨現金 1,790 = 22,265;÷ 263.3 百萬股 = 每股約 85","不足以——客戶數守住只證明「替代尚未反映」,要買入須連 T2 一齊成立",
2026 SaaSpocalypse,Atlassian,TEAM,部分適用,第一輪,T2,FY27 全年 Cloud 收入按年增長指引 ≥ 18%;基準 FY26 指引 22.5%,55%-68%,估 2026-08,同一份 8-K 內的 FY27 財務目標,85,"收入 6,300 × 3.25 EV/S = 20,475;加淨現金 1,790 = 22,265;÷ 263.3 百萬股 = 每股約 85","支持,但要與 T1 同時成立才算",
2026 SaaSpocalypse,Intuit,INTU,大致不適用,第一輪,I1,"FY26 10-K 披露的 Online Ecosystem 付費客戶數按年增長 ≥ 3%,且 ARPC 按年增長 ≥ 8%",65%-78%,估 2026-09,INTU 10-K(期末 2026-07-31)〈Segment Results〉,361,"收入 21,700 × 4.75 EV/S = 103,075;減淨負債 2,634 = 100,441;÷ 278.4 百萬股 = 每股約 361","支持——客戶數與 ARPC 同時守住,即屬「實際替代有限」",
2026 SaaSpocalypse,Intuit,INTU,大致不適用,第一輪,I2,"FY26 全年實際收入落在 2025-11-20 重申的 $20,997M–$21,186M 區間之內或以上",60%-75%,估 2026-08,FY26 Q4/全年業績 8-K 附件 99.1,361,"收入 21,700 × 4.75 EV/S = 103,075;減淨負債 2,634 = 100,441;÷ 278.4 百萬股 = 每股約 361",未給,
2026 SaaSpocalypse,Workday,WDAY,部分適用,第一輪,W1,FY27 Q2(期末 2026-07-31)披露的 12 個月訂閱收入積壓按年增長 ≥ 10%;基準 +17.6%,55%-70%,估 2026-08,WDAY 8-K 附件 99.1(FY27 Q2 業績稿),123,"收入 9,760 × 3.0 EV/S = 29,280;加淨現金 3,857 = 33,137;÷ 269.7 百萬股 = 每股約 123",未給,
2026 SaaSpocalypse,Workday,WDAY,部分適用,第一輪,W2,FY27 全年訂閱收入指引按年增長 ≥ 10%;基準 FY26 為 +14%,55%-68%,"估 2026-02 首次給出,估 2026-08 覆核",FY26 Q4 業績 8-K,123,"收入 9,760 × 3.0 EV/S = 29,280;加淨現金 3,857 = 33,137;÷ 269.7 百萬股 = 每股約 123","不足夠——積壓與指引撐住只證明滯後未到,不證明機制不成立",
2026 SaaSpocalypse,GitLab,GTLB,高度適用,第一輪,G1,FY27 Q2(期末 2026-07-31)披露的 Dollar-Based Net Retention Rate ≤ 115%;基準 119%,62%-75%,估 2026-09,GTLB 8-K 附件 99.1(FY27 Q2 業績稿),48,"情境 A(兩條預測均被推翻):收入 1,363 × 5.0 EV/S = 6,815;加淨現金 1,204 = 8,019;÷ 167.4 百萬股 = 每股約 48","不支持——這是不買的理由;兩條成真即敘事成立,跌是對的",
2026 SaaSpocalypse,GitLab,GTLB,高度適用,第一輪,G2,"同一份業績稿披露的「>$100,000 ARR 客戶數」按年增長 ≤ 15%;基準 +23%",58%-70%,估 2026-09,GTLB 8-K 附件 99.1(FY27 Q2 業績稿),48,"情境 A(兩條預測均被推翻):收入 1,363 × 5.0 EV/S = 6,815;加淨現金 1,204 = 8,019;÷ 167.4 百萬股 = 每股約 48","不支持——這是不買的理由;兩條成真即敘事成立,跌是對的",
