ticker,p0,p1,ret,rel_spy,ma200,px_vs_ma200,ma200_slope_40d,med_dollar_vol_60d,name,entity_id,sic,sic_description,approx_mcap_usd,shares_outstanding,mcap_now_usd
SION,40.900001525878906,7.179999828338623,-0.8244498884970559,-0.8424241775893941,37.13582498311997,-0.8066557069459941,-0.04486363464469323,18251623.524665833,"Sionna Therapeutics, Inc.",0002036042,2834,Pharmaceutical Preparations,292072099.26471615,45212399.0,324625017.05877733
DFNS,47.0,10.239999771118164,-0.7821276644442944,-0.8001019535366326,201.1327500462532,-0.949088352002529,-0.462428613127693,5666145.094013214,T3 Defense Inc.,0001787518,8742,Services-Management Consulting Services,607526887.401724,60270525.0,617170162.2051716
YSS,29.780000686645508,8.960000038146973,-0.6991269364824098,-0.717101225574748,24.01381586099926,-0.6268814548253918,,28924941.595172882,York Space Systems Inc.,0002086587,3760,Guided Missiles & Space Vehicles & Parts,1211494034.1817856,137357605.0,1230724146.0397768
CAPR,28.530000686645508,9.399999618530273,-0.670522278573576,-0.6884965676659143,23.370650050640105,-0.5977861292620393,0.007951309908644344,37855751.70760155,"CAPRICOR THERAPEUTICS, INC.",0001133869,2834,Pharmaceutical Preparations,574994621.1704378,58138989.0,546506474.4217358
EYPT,13.149999618530273,4.579999923706055,-0.651711022314239,-0.6696853114065773,13.631949980258941,-0.6640245944022267,-0.03757544975442739,20613288.25521469,"EyePoint, Inc.",0001314102,3826,Laboratory Analytical Instruments,394851585.46253586,86212138.0,394851585.46253586
SOC,13.020000457763672,4.739999771118164,-0.6359447308397168,-0.653919019932055,9.48865000486374,-0.5004558321058832,-0.1379529175157772,36900888.118982315,Sable Offshore Corp.,0001831481,1311,Crude Petroleum & Natural Gas,915217854.7803783,191869572.0,909461727.3645401
BLDP,6.300000190734863,2.3399999141693115,-0.628571453440486,-0.6465457425328243,3.0351500034332277,-0.22903319060922622,-0.05064395580692005,15760155.02500534,Ballard Power Systems Inc.,0001453015,3620,Electrical Industrial Apparatus,673757990.7085075,300784816.0,703836443.6234322
ENVX,8.579999923706055,3.319999933242798,-0.6130536173934191,-0.6310279064857574,6.158550007343292,-0.4609120768226096,-0.1761193931948205,26449221.28047943,Enovix Corp,0001828318,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",735152571.3217568,219448535.0,728569121.5502298
ADTN,17.8700008392334,7.099999904632568,-0.6026860900283455,-0.6206603791206837,11.40980000257492,-0.3777279266042992,-0.008603355193737783,18708499.975585938,"ADTRAN Holdings, Inc.",0000926282,3661,Telephone & Telegraph Apparatus,612740179.0858655,81481407.0,578517981.9293275
SPCE,7.519999980926514,3.0399999618530273,-0.5957446848984593,-0.6137189739907976,3.0432000041007994,-0.001051538592093837,-0.05931900312983418,25612982.153749466,"Virgin Galactic Holdings, Inc",0001706946,4700,Transportation Services,441144090.7415807,151595903.0,460851539.33707523
