ticker,p0,p1,ret,rel_spy,ma200,px_vs_ma200,ma200_slope_40d,med_dollar_vol_60d,name,entity_id,sic,sic_description,approx_mcap_usd,shares_outstanding,mcap_now_usd,G1_transparent,note,name_sec,cik,asof,rev_ttm,ebit_ttm,op_margin,rev_growth_yoy,cash,investments,debt,lease_debt,short_debt,net_debt,ocf_ttm,capex_ttm,fcf_ttm,sbc_ttm,diluted_shares,notes,G3_has_cashflow,G4_no_refi_need,net_debt_to_ocf,G2_liquidity,pass_v1_screen
ADTN,17.8700008392334,7.099999904632568,-0.6026860900283455,-0.6206603791206837,11.40980000257492,-0.3777279266042992,-0.0086033551937377,18708499.975585938,"ADTRAN Holdings, Inc.",926282,3661,Telephone & Telegraph Apparatus,612740179.0858655,81481407.0,578517981.9293275,True,,"ADTRAN Holdings, Inc.",0000926282,2026-06-30,1138227000.0,-2006000.0,-0.0017623901032043697,0.15747817704053824,79236000.0,0.0,0.0,34092000.0,0.0,-45144000.0,93011000.0,36093000.0,56918000.0,8844000.0,80948000.0,,True,True,-0.485361946436443,True,True
SEDG,75.80000305175781,34.20000076293945,-0.5488126730075857,-0.566786962099924,42.04325002670288,-0.1865519259044424,0.0001938119945608,104235397.37625122,"SOLAREDGE TECHNOLOGIES, INC.",1419612,3674,Semiconductors & Related Devices,1998971655.7889247,61525748.0,2104180628.5404203,True,,"SOLAREDGE TECHNOLOGIES, INC.",0001419612,2026-06-30,1332281000.0,-154549000.0,-0.11600330560895186,0.4164748485212548,527257000.0,19685000.0,0.0,42377000.0,0.0,-504565000.0,114081000.0,24085000.0,89996000.0,81407000.0,61045194.0,,True,True,-4.422866209097045,True,True
INOD,115.31999969482422,55.65999984741211,-0.5173430454846746,-0.5353173345770128,60.75250009536743,-0.0838237149082139,-0.0385694360598594,76894227.76565552,INNODATA INC,903651,7374,Services-Computer Processing & Data Preparation,1878668029.6544952,34382651.0,1913738349.413624,True,,INNODATA INC,0000903651,2026-06-30,317164000.0,39873000.0,0.1257172945227075,0.3902104400348907,240278000.0,10093000.0,0.0,3832000.0,0.0,-246622000.0,196203000.0,12355000.0,183848000.0,18646000.0,34771000.0,,True,True,-1.256973644643558,True,True
VPG,126.23999786376952,63.0099983215332,-0.5008713609966176,-0.5188456500889558,68.37044974327087,-0.0784030446174628,0.1428998708365643,52425028.14331055,"Vishay Precision Group, Inc.",1487952,3670,Electronic Components & Accessories,740887118.0007362,12256197.0,772262952.3983803,True,,"Vishay Precision Group, Inc.",0001487952,2026-07-04,328589000.0,11245000.0,0.034222082906001115,0.11279725821418163,75702000.0,0.0,15640000.0,23613000.0,0.0,-36593000.0,2846000.0,0.0,2846000.0,2290000.0,13310.0,缺資本開支標籤。,True,True,-12.85769501054111,True,True
LINC,49.38999938964844,25.63999938964844,-0.4808665781230546,-0.4988408672153929,35.88620011329651,-0.2855192439238408,0.0712314990097502,25649250.2368927,LINCOLN EDUCATIONAL SERVICES CORP,1286613,8200,Services-Educational Services,770831915.4984322,31721479.0,813338702.1987457,True,,LINCOLN EDUCATIONAL SERVICES CORPORATION,0001286613,2026-06-30,570778000.0,33739000.0,0.05911054735816727,0.2202290476159936,44178000.0,0.0,26000000.0,171201000.0,0.0,153023000.0,94023000.0,69489000.0,24534000.0,5999000.0,31418794.0,,True,True,1.6275060357572084,True,True
ARRY,8.819999694824219,4.599999904632568,-0.4784580426536799,-0.4964323317460182,7.835849988460541,-0.4129545727130107,-0.0811942633505844,36744933.32643509,"Array Technologies, Inc.",1820721,3674,Semiconductors & Related Devices,703815178.8771725,154007692.0,708435368.512682,True,,"ARRAY TECHNOLOGIES, INC.",0001820721,2026-06-30,1185012000.0,-60781000.0,-0.05129146371513538,0.01175502286457819,307302000.0,0.0,657749000.0,51459000.0,0.0,401906000.0,162861000.0,28133000.0,134728000.0,17395000.0,155685000.0,,True,True,2.467785412099889,True,True
UTI,41.38999938964844,22.200000762939453,-0.4636385336963394,-0.4816128227886777,33.32245011329651,-0.3337824593491976,0.0002251715640704,36796646.80767059,UNIVERSAL TECHNICAL INSTITUTE INC,1261654,8200,Services-Educational Services,1148735587.3671627,55095231.0,1223114170.2343254,True,,"UNIVERSAL TECHNICAL INSTITUTE, INC",0001261654,2026-06-30,883595000.0,44257000.0,0.050087426932022026,0.0914886625852962,130060000.0,40060000.0,160034000.0,199437000.0,2993000.0,189351000.0,74506000.0,97379000.0,-22873000.0,12175000.0,55935000.0,,True,True,2.5414194829946584,True,True
MRAM,30.11000061035156,16.3700008392334,-0.4563267848754034,-0.4743010739677417,15.522749981880189,0.0545812345326834,0.0747812634489724,20470073.90604019,EVERSPIN TECHNOLOGIES INC.,1438423,3674,Semiconductors & Related Devices,386191134.3800879,24350009.0,398609667.7653408,True,,"Everspin Technologies, Inc.",0001438423,2026-06-30,62471000.0,-9714000.0,-0.15549615021369917,0.20892114175133036,43896000.0,0.0,905000.0,0.0,889000.0,-42991000.0,4234000.0,9614000.0,-5380000.0,5454000.0,23882618.0,缺折舊攤銷標籤。,True,True,-10.15375531412376,True,True
CIEN,569.6099853515625,321.0,-0.436456508391651,-0.4544307974839893,377.16464973449706,-0.1489128150637496,0.112149879934037,841441774.2370605,CIENA CORP,936395,3661,Telephone & Telegraph Apparatus,51005762483.52496,141552922.0,45438487962.0,True,,Ciena Corp,0000936395,2026-05-02,5569150000.0,511309000.0,0.09181095858434411,0.3059149388987088,1045126000.0,357814000.0,1531119000.0,44392000.0,11580000.0,172571000.0,1032771000.0,200112000.0,832659000.0,201057000.0,146314000.0,,True,True,0.16709512563772608,True,True
LASR,70.58000183105469,40.060001373291016,-0.4324171105976806,-0.4503913996900188,57.30917510032654,-0.3009845054799478,0.0869476551440109,66212956.6368103,"NLIGHT, INC.",1124796,3674,Semiconductors & Related Devices,2326068725.434349,57690197.0,2311069371.045429,True,,"NLIGHT, INC.",0001124796,2026-06-30,310699000.0,-16990000.0,-0.0546831499296747,0.4323668936393854,295761000.0,34686000.0,0.0,14843000.0,0.0,-315604000.0,53151000.0,11321000.0,41830000.0,42833000.0,56983000.0,,True,True,-5.937875110534138,True,True
