ticker,index_joined,index_left,delisted_or_removed,resolved_cik,cik_source,cik_first_filed,cik_name_today,yfinance_name_today,median_mcap_usd_m,median_rev_ttm_usd_m,R1_cik_born_after_index_join,R2_too_small_for_index,R3_mcap_rev_absurd,R4_split_after_index_exit,signals,panel_cells,verdict,same_company_check,check_basis
PARA,2022-02-17,2025-08-08,True,0001826011,anchors,,,"Banzai International, Inc.",3750.24,4.56,False,True,True,True,3,66,確證代號重用,"是,另一家公司","成分期是 Paramount Global(2025-08 與 Skydance 合併後改代號 PSKY);解析到的 CIK 0001826011 是 Banzai International(前身 7GC & Co Holdings SPAC),營收中位數只有 456 萬美元"
CPWR,1999-01-04,2012-01-03,True,0000827099,submissions_window_overlap,1996-10-24,Ocean Thermal Energy Corp,Ocean Thermal Energy Corporation,7.84,,False,True,False,True,2,180,確證代號重用,"是,另一家公司","成分期是 Compuware;解析到的 CIK 0000827099 是 Ocean Thermal Energy(曾用名 Tetridyn Solutions、Creative Vending),SEC 名冊與 yfinance 名兩邊一致"
EP,1999-10-26,2012-05-25,True,0000887396,submissions_window_overlap,1996-05-08,EMPIRE PETROLEUM CORP,Empire Petroleum Corporation,115.14,,False,True,False,True,2,181,確證代號重用,"是,另一家公司",成分期是 El Paso Corp(2012 年被 Kinder Morgan 收購);解析到的 CIK 0000887396 是 Empire Petroleum(曾用名 Americomm Resources)
NKTR,2018-03-19,2019-10-03,True,0000906709,anchors,,,Nektar Therapeutics,105017.65,321.0,False,False,True,True,2,185,"訊號假陽性,同一家公司","否,同一家公司",CIK 0000906709 是 Nektar Therapeutics 本身;2025-06 的 1:15 反向拆股是它自己做的。R3 是股數刻度問題(A-041)引起的假陽性
COV,1996-01-02,2015-01-27,True,0001385187,edgar_full_text_search,2007-01-18,,,,,True,False,False,False,1,72,"嫌疑,要人手核",要人手核,Covidien 2015 年被 Medtronic 收購;解析到的 CIK 首次申報晚於代號加入指數
ERIE,2024-09-23,,False,0000922621,anchors,,,Erie Indemnity Company,0.85,3973.47,False,True,False,False,1,193,"訊號假陽性,同一家公司","否,同一家公司",CIK 0000922621 是 Erie Indemnity 本身;市值 85 萬美元是股數刻度問題引起的假陽性
MEE,1996-01-02,2011-06-02,True,0000909992,edgar_full_text_search,1996-06-25,,,,,True,False,False,False,1,0,"嫌疑,要人手核",要人手核,Massey Energy 2011 年被 Alpha Natural Resources 收購
NBR,2000-10-18,2015-03-23,True,0001163739,anchors,,,Nabors Industries Ltd.,261243.69,6162.99,False,False,False,True,1,206,"訊號假陽性,同一家公司","否,同一家公司",CIK 0001163739 是 Nabors Industries 本身;2020-04 的 1:50 反向拆股是它自己做的
RAI,2002-09-04,2017-07-25,True,0001275283,edgar_full_text_search,2004-01-16,,,,,True,False,False,False,1,103,"嫌疑,要人手核",要人手核,Reynolds American 2017 年被 BAT 收購
RTN,1996-01-02,2020-04-06,True,0001047122,edgar_full_text_search,1997-10-06,,,,,True,False,False,False,1,133,"嫌疑,要人手核",要人手核,Raytheon 2020 年與 UTC 合併成 RTX;解析到的 CIK 0001047122 是合併後的實體
SUN,1996-01-02,2012-10-05,True,0001552275,submissions_window_overlap,2012-06-22,Sunoco LP,Sunoco LP,,,True,False,False,False,1,165,"嫌疑,要人手核","嫌疑,另一個法律實體","成分期是 Sunoco Inc;解析到的 CIK 0001552275 是 Sunoco LP,首次申報 2012 年,在代號加入指數之後十六年"
WRK,2015-07-02,2024-07-08,True,0001732845,edgar_full_text_search,2018-03-28,,,,,True,False,False,False,1,72,"嫌疑,要人手核",要人手核,WestRock 2024 年與 Smurfit Kappa 合併
