v1_theme,ticker,rule,rule_name,reason,v1_valid_from,v1_valid_to,v1_added_by,v21_review,switch_date,switch_evidence
copper,HBM,c,單一資產主導,"初級銅礦商,只有一兩個礦——舊倉原話是它的電話會議講的是自己那個礦,不是銅市;D-147 ③ 把代表性測試收回作名冊門檻,所以出隊。",2022-01-01,,v1,"維持出隊。規則 c 單一資產主導,不是主業轉向,不在本票的改動範圍(票面 ②)。",,
copper,ERO,c,單一資產主導,"初級銅礦商,股價跟自己在巴西那兩個礦的產量與許可證消息走,不跟銅價走。",2022-01-01,,v1,"維持出隊。規則 c 單一資產主導,不是主業轉向,不在本票的改動範圍(票面 ②)。",,
copper,TGB,c,單一資產主導,"單一礦(Gibraltar)的初級礦商,股價跟自己那個礦的品位與罷工消息走。",2022-01-01,,v1,"維持出隊。規則 c 單一資產主導,不是主業轉向,不在本票的改動範圍(票面 ②)。",,
copper,BHP,d,主業已轉向(只入其股價主要跟隨的那條),"多元化礦商,鐵礦石佔盈利大頭——它的股價主要跟中國鋼鐵需求走,不跟銅價走。",2022-01-01,2021-11-30,v0,"維持出隊。規則 d 名下,但沒有轉向日:2022 年至今全期都是鐵礦石主導的多元化礦商,不是某日由銅轉去別處。舊倉 2026-07-21 手術已把它的 copper 出隊日追溯到 2021-11-30(走廊首個決策日 2021-12-01 之前),即量度窗內沒有一日屬 copper。而且 v2 的 65 條鏈裡沒有鐵礦石／多元化礦商那一層,沒有新鏈可換。",,"v0 原行 valid_to=2021-11-30,note 原文:「2026-07-21 手術 S1 出隊:綜合礦業‧主盈利=鐵礦石(中國鋼鐵週期)‧非銅電氣化;去向=中國政策池‧棄」。BHP 是 20-F 外國申報人,10-K 全文快取沒有它的年報。"
copper,RIO,d,主業已轉向(只入其股價主要跟隨的那條),"多元化礦商,鐵礦石與鋁佔盈利大頭——同一則銅價消息在它身上被其他商品沖淡。",2022-01-01,2021-11-30,v0,"維持出隊。理由與 BHP 同:全期鐵礦石與鋁主導,沒有轉向日;v0 出隊日已追溯至 2021-11-30,窗內沒有一日屬 copper;v2 沒有可換的新鏈。",,"v0 原行 valid_to=2021-11-30。RIO 是 20-F 外國申報人,10-K 全文快取沒有它的年報。"
biotech,INCY,c,單一資產主導,"Jakafi 一隻藥佔收入約七成,股價主要跟這一隻藥的專利懸崖與適應症擴展消息走。",2022-01-01,,v1,"維持出隊。規則 c 單一資產主導,不是主業轉向,不在本票的改動範圍(票面 ②)。",,
biotech,ALNY,c,單一資產主導,"單一 RNAi 平台,股價主要跟自己的試驗數據與標籤擴展消息走,不跟藥價政策走。",2022-01-01,,v1,"維持出隊。規則 c 單一資產主導,不是主業轉向,不在本票的改動範圍(票面 ②)。",,
uranium_power,CEG,a,位置不同,"核電廠營運商,是鈾的買家不是賣方——位置相反;它的主歸屬是 power_producers,已在該鏈。",2022-02-01,2021-11-30,v0,"維持出隊。規則 a 位置不同,不是主業轉向,不在本票的改動範圍(票面 ②)。",,
uranium_power,DUK,a,位置不同,"規管公用事業,盈利來自 rate-base 回報,鈾價對它是成本轉嫁項,不是收入。",2022-01-01,2021-11-30,v0,"維持出隊。規則 a 位置不同,不是主業轉向,不在本票的改動範圍(票面 ②)。",,
uranium_power,SO,a,位置不同,"規管公用事業,盈利來自 rate-base 回報,鈾價對它是成本轉嫁項,不是收入。",2022-01-01,2021-11-30,v0,"維持出隊。規則 a 位置不同,不是主業轉向,不在本票的改動範圍(票面 ②)。",,
