year,field,companies_in_panel,has_value,custom_tag_only,custom_tag_measurable,no_value,pct_has_value,note
2009,assets,335,334,0,False,1,0.997,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2009,capex,335,261,0,False,74,0.7791,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2009,cash,335,313,0,False,22,0.9343,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2009,cfo,335,325,0,False,10,0.9701,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2009,diluted_shares,335,253,0,False,82,0.7552,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2009,equity,335,333,0,False,2,0.994,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2009,gross_profit,335,103,0,False,232,0.3075,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2009,liabilities,335,202,0,False,133,0.603,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2009,lt_debt,335,184,0,False,151,0.5493,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2009,net_income,335,330,0,False,5,0.9851,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2009,revenue,335,298,0,False,37,0.8896,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2010,assets,538,538,0,False,0,1.0,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2010,capex,538,459,0,False,79,0.8532,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2010,cash,538,515,0,False,23,0.9572,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2010,cfo,538,533,0,False,5,0.9907,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2010,diluted_shares,538,474,0,False,64,0.881,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2010,equity,538,535,0,False,3,0.9944,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2010,gross_profit,538,207,0,False,331,0.3848,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2010,liabilities,538,345,0,False,193,0.6413,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2010,lt_debt,538,321,0,False,217,0.5967,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2010,net_income,538,534,0,False,4,0.9926,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2010,revenue,538,484,0,False,54,0.8996,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2011,assets,592,590,0,False,2,0.9966,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2011,capex,592,513,0,False,79,0.8666,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2011,cash,592,563,0,False,29,0.951,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2011,cfo,592,585,0,False,7,0.9882,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
