ma_days,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
50,0.5,monthly,-0.34454358615084624,560,普通,3,3,-0.3418394527802133,-0.34093807499000234,-0.0027041333706329107,,False,cadence=monthly,1,-0.34498324104207134,0.003143788261858016
50,0.5,quarterly,-0.3463943960712177,188,普通,3,3,-0.34498324104207134,-0.3445128560323559,-0.0014111550291463493,,False,cadence=quarterly,1,-0.3418394527802133,-0.003143788261858016
50,0.75,monthly,-0.3391353194095805,560,普通,5,5,-0.3391345128467378,-0.3391343515341692,-8.065628427367244e-07,,False,cadence=monthly,1,-0.34359639954252547,0.004461886695787676
50,0.75,quarterly,-0.343572086012925,188,普通,5,5,-0.34359639954252547,-0.34360126224844556,2.4313529600472616e-05,,False,cadence=quarterly,1,-0.3391345128467378,-0.004461886695787676
50,1.0,monthly,-0.33372463297978683,134,普通,3,3,-0.33642997619468357,-0.33733175726631587,0.0027053432148967382,,False,cadence=monthly,1,-0.3421974012781793,0.0057674250834957586
50,1.0,quarterly,-0.34082271654343366,56,普通,3,3,-0.3421974012781793,-0.34265562952309453,0.001374684734745668,,False,cadence=quarterly,1,-0.33642997619468357,-0.0057674250834957586
100,0.5,monthly,-0.3445435861508461,560,普通,5,5,-0.34183945278021316,-0.3412986261060865,-0.002704133370632966,,False,cadence=monthly,1,-0.3449832410420713,0.003143788261858127
100,0.5,quarterly,-0.3463943960712177,188,普通,5,5,-0.3449832410420713,-0.34470101003624204,-0.0014111550291464048,,False,cadence=quarterly,1,-0.34183945278021316,-0.003143788261858127
100,0.75,monthly,-0.3391353194095803,560,普通,8,8,-0.3391345128467377,-0.33913441202638234,-8.065628426257021e-07,,False,cadence=monthly,1,-0.3435963995425254,0.004461886695787731
100,0.75,quarterly,-0.343572086012925,188,普通,8,8,-0.3435963995425254,-0.34359943873372545,2.4313529600417105e-05,,False,cadence=quarterly,1,-0.3391345128467377,-0.004461886695787731
100,1.0,monthly,-0.3337246329797866,114,普通,5,5,-0.33642997619468346,-0.3369710448376628,0.0027053432148968493,,False,cadence=monthly,1,-0.34219740127817927,0.005767425083495814
100,1.0,quarterly,-0.34082271654343366,56,普通,5,5,-0.34219740127817927,-0.3424723382251284,0.0013746847347456126,,False,cadence=quarterly,1,-0.33642997619468346,-0.005767425083495814
150,0.5,monthly,-0.3445435861508459,560,普通,5,5,-0.34183945278021294,-0.3412986261060864,-0.002704133370632966,,False,cadence=monthly,1,-0.34498324104207123,0.0031437882618582935
150,0.5,quarterly,-0.3463943960712177,188,普通,5,5,-0.34498324104207123,-0.344701010036242,-0.0014111550291464603,,False,cadence=quarterly,1,-0.34183945278021294,-0.0031437882618582935
150,0.75,monthly,-0.33913531940957986,560,普通,8,8,-0.3391345128467375,-0.3391344120263823,-8.065628423481463e-07,,False,cadence=monthly,1,-0.34359639954252535,0.004461886695787842
150,0.75,quarterly,-0.34357208601292477,188,普通,8,8,-0.34359639954252535,-0.34359943873372545,2.431352960058364e-05,,False,cadence=quarterly,1,-0.3391345128467375,-0.004461886695787842
150,1.0,monthly,-0.3337246329797866,90,普通,5,5,-0.33642997619468334,-0.33697104483766266,0.0027053432148967382,,False,cadence=monthly,1,-0.3421974012781792,0.00576742508349587
150,1.0,quarterly,-0.34082271654343366,44,普通,5,5,-0.3421974012781792,-0.34247233822512835,0.001374684734745557,,False,cadence=quarterly,1,-0.33642997619468334,-0.00576742508349587
200,0.5,monthly,-0.344543586150846,560,普通,3,3,-0.3418394527802129,-0.3409380749900019,-0.0027041333706331327,,False,cadence=monthly,1,-0.34498324104207123,0.003143788261858349
200,0.5,quarterly,-0.3463943960712177,188,普通,3,3,-0.34498324104207123,-0.34451285603235576,-0.0014111550291464603,,False,cadence=quarterly,1,-0.3418394527802129,-0.003143788261858349
200,0.75,monthly,-0.33913531940957975,560,普通,5,5,-0.3391345128467375,-0.33913435153416904,-8.06562842237124e-07,,False,cadence=monthly,1,-0.34359639954252535,0.004461886695787842
200,0.75,quarterly,-0.34357208601292477,188,普通,5,5,-0.34359639954252535,-0.3436012622484455,2.431352960058364e-05,,False,cadence=quarterly,1,-0.3391345128467375,-0.004461886695787842
200,1.0,monthly,-0.3337246329797867,98,普通,3,3,-0.33642997619468323,-0.3373317572663154,0.002705343214896516,,False,cadence=monthly,1,-0.3421974012781792,0.005767425083495981
200,1.0,quarterly,-0.34082271654343366,44,普通,3,3,-0.3421974012781792,-0.3426556295230944,0.001374684734745557,,False,cadence=quarterly,1,-0.33642997619468323,-0.005767425083495981
