event,ticker,grade,grade_level,v1,verdict,px_vs_lo,T3,T6,T12,N3,N6,N12,premise,premise_note
E07,NVDA,有限損害,3,部分適用,相稱,0.6665,0.21659329548770256,0.3817242915856187,0.38958435666183044,-0.04637155113994684,0.3170292895064313,0.24615023177959428,未推翻,資料中心收入增速全年遠高於 +30% 門檻
E07,MU,重大損害,4,部分適用,現價高於衝擊後價值,0.7127,0.17951072901572096,0.3350761769163957,2.7674355962453667,-0.011407795496156559,0.26162746191828434,2.4807725641047282,未推翻,"DRAM 收入增速未轉負,HBM 週期延續"
E07,VRT,有限損害,3,資料不足,現價高於衝擊後價值,0.7087,0.19983710788481157,0.39496217369468645,1.6376050878309818,-0.1771777114716877,0.08269590444266117,0.412966820078458,未推翻,積壓訂單全年續增
E07,ANET,重大損害,4,部分適用,現價高於衝擊後價值,0.5842,0.08825653875712569,0.6138680503406158,0.3972994763188866,-0.2248762652586591,0.0911565460564916,0.03884013672912956,未推翻,兩家雲商合計佔比未跌穿 20%
E07,ORCL,有限損害,3,資料不足,現價高於衝擊後價值,0.6429,0.13536269363837805,0.9405420152638433,-0.08010921212003608,-0.08209249678531805,0.3679599099945121,-0.20574373469446572,未推翻,"基建雲增速未轉負,反而加速"
E06,MDLZ,有限損害,3,部分適用,現價高於衝擊後價值,0.6466,0.07770575022751491,-0.07661392823531266,-0.12164794243587318,-0.04173920425256106,-0.12632777975453513,-0.274884632571596,推翻,"有機銷量轉負,門檻觸發"
E06,KO,影響輕微或受益,2,部分適用,現價高於衝擊後價值,0.7994,0.03453137773341686,-0.05101622637654968,0.006795684938701196,-0.07534253757948994,-0.06246738508694438,-0.16160443415866932,未推翻,"全球銷量大致持平,未轉負(邊際)"
E06,RMD,有限損害,3,部分適用,現價高於衝擊後價值,0.734,0.1017061395454395,0.1279114317032961,0.26529753963145253,0.06241450109850111,0.16633986218760377,0.17304089170190862,未推翻,面罩與耗材收入續增
E06,DXCM,重大損害,4,高度適用,相稱,0.6299,0.4781746712093107,0.5245765651953176,-0.3532913553704048,0.1630014956380692,0.12374825705906334,-0.47383346444611063,推翻,"美國收入增速大幅放緩,門檻觸發"
E06,DVA,重大損害,4,部分適用,現價高於衝擊後價值,0.6253,0.2957673763523001,0.5085080666124602,0.6509114094942834,0.23124578475942936,0.4388664382072305,0.35453208895998234,未推翻,美國洗腎治療總數未下降
