ticker,joined_on,left_on
AABA,1999-12-08,2017-06-19
ABC,2001-08-30,2023-08-30
ABMD,2018-05-31,2022-12-22
ACS,2004-04-02,2010-02-08
ADS,2013-12-23,2020-06-22
AGN,1996-01-02,2020-05-12
AKS,2008-07-01,2011-12-19
ALTR,2000-04-18,2015-12-28
ALXN,2012-05-25,2021-07-21
ANF,2007-03-29,2013-12-23
ANRZQ,2011-06-02,2012-10-02
ANSS,2017-06-19,2025-07-18
ANTM,2002-07-25,2022-06-28
APOL,2002-05-15,2013-07-01
ARG,2009-09-09,2016-05-23
ARNC,1996-01-02,2020-04-06
ATGE,2009-06-09,2012-10-01
ATVI,2015-08-31,2023-10-18
AVP,1996-01-02,2015-03-23
AYE,2000-12-11,2011-02-28
BCR,1996-01-02,2017-12-29
BDK,1996-01-02,2010-03-15
BEAM,1996-01-02,2014-05-01
BHGE,1996-01-02,2019-10-18
BIG,1998-01-20,2013-02-14
BJS,2002-05-15,2010-04-29
BK,1996-01-02,2026-05-21
BLL,1996-01-02,2022-05-10
BMC,1998-10-01,2013-09-11
BMS,1996-01-02,2014-12-05
BNI,1996-01-02,2010-02-16
BRCM,2000-07-03,2016-02-01
BTUUQ,2006-11-20,2014-09-22
BXLT,2015-07-01,2016-06-03
CA,1996-01-02,2018-11-06
CBE,1996-01-02,2012-12-03
CBS,1996-01-02,2019-12-05
CCE,1998-10-08,2016-05-31
CDAY,2021-09-20,2024-02-01
CELG,2006-11-06,2019-11-21
CEPH,2008-11-17,2011-10-14
CERN,2010-04-30,2022-06-08
CFN,2009-09-01,2015-03-17
CHK,2006-03-03,2018-03-19
CLF,2009-12-21,2014-04-02
CMA,1996-01-02,2024-06-24
CMCSK,2015-09-21,2015-12-14
COG,2008-06-23,2021-10-04
COV,1996-01-02,2015-01-27
CPGX,2015-07-02,2016-07-01
CPWR,1999-01-04,2012-01-03
CTL,1999-03-25,2020-09-18
CTLT,2020-09-21,2024-12-23
CTRA,2021-10-04,2026-05-07
CTXS,1999-12-01,2022-10-03
CVC,2010-12-20,2016-06-21
CVH,2005-08-30,2013-05-07
CXO,2016-02-22,2021-01-21
DAY,2024-02-01,2026-02-09
DF,2006-04-03,2013-05-24
DFS,2007-07-02,2025-05-19
DISCA,2010-03-01,2022-04-11
DISCK,2014-08-07,2022-04-11
DISH,2017-03-13,2023-06-20
DNB,2008-12-02,2017-04-05
DNR,2009-04-02,2015-03-23
DO,2009-02-26,2016-10-03
DRE,2017-07-26,2022-10-03
DTV,2006-12-04,2015-07-27
DWDP,2017-09-01,2019-06-03
EKDKQ,1996-01-02,2010-12-20
ENDP,2015-01-27,2017-03-02
EP,1999-10-26,2012-05-25
ESV,2007-01-04,2016-03-30
ETFC,2004-04-01,2020-10-07
FBHS,2016-06-24,2022-12-19
FDO,2001-08-06,2015-07-07
FHN,2002-05-06,2013-06-24
FI,2023-06-07,2025-11-11
FII,2003-04-16,2013-01-02
FL,1996-01-02,2019-08-09
FLIR,2009-01-02,2021-05-14
FLT,2018-06-20,2024-03-25
FRC,2019-01-02,2023-05-04
FRX,2000-11-22,2014-07-01
FTR,2001-02-27,2017-03-20
GAS,1996-01-02,2016-07-01
GENZ,2001-12-14,2011-04-04
GGP,2007-07-02,2018-08-28
GHC,2007-12-31,2014-09-22
GMCR,2014-03-24,2016-03-03
GPS,1996-01-02,2022-02-02
GR,1996-01-02,2012-07-27
HAR,2006-02-01,2017-03-13
HBI,2015-03-23,2021-12-20
HCBK,2007-02-15,2015-11-02
HCP,2008-03-31,2019-11-05
HES,1996-01-02,2025-07-23
HFC,2018-06-18,2021-06-04
HNZ,1996-01-02,2013-06-07
HOLX,2016-03-30,2026-04-09
HRS,1996-01-02,2019-06-01
HSH,1996-01-02,2012-06-29
HSP,2004-05-03,2015-09-03
IGT,2001-09-04,2014-06-20
IPG,1996-01-02,2025-11-28
ITT,1996-01-02,2011-11-01
JAVA,1996-01-02,2010-01-27
JCP,1996-01-02,2013-12-02
JEC,2007-10-26,2019-12-10
JNPR,2006-06-02,2025-07-09
JNS,2000-07-13,2011-11-23
JOY,2011-02-28,2015-10-08
JWN,1996-01-02,2020-06-22
K,1996-01-02,2025-12-11
KG,2000-10-03,2010-12-20
KORS,2013-11-13,2018-09-19
KRFT,2012-10-02,2015-07-06
KSU,1999-04-05,2021-12-14
LIFE,2008-11-24,2014-01-24
LLL,2004-12-01,2019-07-01
LLTC,2000-04-03,2017-03-13
LM,2006-04-24,2016-12-02
LO,2008-06-11,2015-06-12
LSI,1996-01-02,2014-05-07
LVLT,2014-11-05,2017-10-13
LXK,1999-08-13,2012-10-01
MDP,1996-01-02,2011-01-04
MEE,1996-01-02,2011-06-02
MFE,2008-12-23,2011-03-01
MHS,2003-08-20,2012-04-02
MI,2002-02-11,2011-07-06
MIL,1996-01-02,2010-07-15
MJN,2009-12-21,2017-06-15
MMC,1996-01-02,2026-01-14
MMI,2011-01-04,2012-05-22
MNK,2014-08-19,2017-07-26
MOLX,1999-12-01,2013-12-09
MON,2002-08-14,2018-06-07
MRO,1996-01-02,2024-11-26
MWV,1996-01-02,2015-07-02
MWW,2001-06-04,2011-12-19
MXIM,2000-05-10,2021-08-30
MYL,2004-04-23,2020-11-17
NBL,2007-10-08,2020-10-12
NLOK,2019-11-05,2022-11-08
NLSN,2013-07-09,2022-10-12
NOVL,1996-01-02,2011-04-28
NSM,1996-01-02,2011-09-26
NVLS,2000-06-19,2012-06-05
NYT,1996-01-02,2010-12-20
NYX,2007-10-25,2013-11-13
ODP,1999-06-24,2010-12-20
PBCT,2008-11-13,2022-04-04
PBG,2001-05-14,2010-03-01
PCP,2007-06-01,2016-02-01
PDCO,2005-10-11,2018-03-19
PEAK,2019-11-05,2024-03-04
PETM,2012-10-05,2015-03-12
PGN,1996-01-02,2012-07-02
PKI,1996-01-02,2023-05-16
PLL,1996-01-02,2015-08-31
PTV,1999-11-05,2010-11-17
PX,1996-01-02,2018-10-31
PXD,2008-09-24,2024-05-08
QEP,2010-07-01,2015-07-01
QLGC,2000-12-12,2011-01-18
RAI,2002-09-04,2017-07-25
RDC,1996-01-02,2014-08-19
RE,2017-06-19,2023-07-10
RHT,2009-07-27,2019-07-15
RRD,1996-01-02,2012-12-12
RSHCQ,1996-01-02,2011-07-01
RTN,1996-01-02,2020-04-06
RX,1996-11-04,2010-02-26
S,1996-01-02,2013-07-09
SATS,2026-03-23,2026-06-24
